Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbX; nbXFixed; nbNode; tempsTotal; nbConCut2
Sc1-2; 0; 515201.00; 515201.00; 515201.00; 0; 1; 0; 515201.00; 0; 492; 492; 192; 79; -1; 0.54; 300
Sc1-3; 0; 377075.00; 377075.00; 348407.82; 0; 0; 1; 377075.00; 1; 516; 0; 192; 0; 0; 0.84; 216
Sc1-4; 0; 235565.00; 235565.00; 233094.52; 0; 0; 1; 235565.00; 1; 444; 73; 192; 22; 0; 1.09; 204
Sc1-5; 0; 149514.00; 149514.00; 149514.00; 0; 1; 0; 149514.00; 0; 492; 492; 192; 2; -1; 0.36; 252
Sc1-6; 0; 320438.00; 320438.00; 318857.76; 0; 0; 1; 320438.00; 1; 444; 142; 192; 46; 0; 1.24; 372
Sc1-7; 0; 367405.00; 367405.00; 362138.69; 0; 0; 1; 367405.00; 1; 504; 72; 192; 28; 0; 1.02; 324
Sc1-8; 0; 195980.00; 195980.00; 189371.52; 0; 0; 1; 195980.00; 1; 444; 30; 192; 12; 0; 0.74; 312
Sc1-9; 0; 164420.00; 164420.00; 159086.27; 0; 0; 1; 164420.00; 1; 444; 38; 192; 21; 0; 0.82; 240
Sc1-10; 0; 195094.00; 195094.00; 195094.00; 0; 1; 0; 195094.00; 0; 468; 468; 192; 29; -1; 0.39; 324
Sc1-11; 0; 279463.00; 279463.00; 231771.95; 0; 0; 1; 279463.00; 1; 468; 0; 192; 0; 0; 0.53; 252
Sc1-12; 0; 465172.00; 465172.00; 465172.00; 0; 1; 0; 465172.00; 0; 456; 456; 192; 21; -1; 0.35; 180
Sc1-13; 0; 272844.00; 272844.00; 267704.69; 0; 0; 1; 272844.00; 1; 456; 40; 192; 10; 0; 0.82; 288
Sc1-14; 0; 306268.00; 306268.00; 306268.00; 0; 1; 0; 306268.00; 0; 492; 492; 192; 12; -1; 0.48; 372
Sc1-15; 0; 247693.00; 247693.00; 247693.00; 0; 1; 0; 247693.00; 0; 432; 432; 192; 3; -1; 0.40; 276
Sc1-16; 0; 288443.00; 288443.00; 288443.00; 0; 1; 0; 288443.00; 0; 468; 468; 192; 33; -1; 0.47; 300
Sc1-18; 0; 445751.00; 445751.00; 407004.12; 0; 0; 1; 445751.00; 1; 504; 0; 192; 0; 0; 0.80; 276
Sc1-19; 0; 252595.00; 445751.00; 407004.12; 0; 0; 1; 445751.00; 1; 504; 0; 192; 0; 0; 0.80; 276
