Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc1-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-2; 1; 1; 515201.00; -1; 0; 0; 3288; 492; 255; 515201.00; 514416.64; 0.52; 1; 1; 1; -1; -1; 2.00; 0; 1; 515201.00; 0.66; -1; -1; 0
Sc1-3; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 321882.22; 0.21; 1; 1; 1; -1; -1; 2.00; 0; 1; 377075.00; 0.55; -1; -1; 0
Sc1-4; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 13.63; 1; 1; 1; -1; -1; 2.00; 0; 1; 235565.00; 13.88; -1; -1; 0
Sc1-5; 1; 1; 149514.00; -1; 0; 0; 3288; 492; 4; 149514.00; 144433.76; 0.26; 1; 1; 1; -1; -1; 2.00; 0; 1; 149514.00; 0.58; -1; -1; 0
Sc1-6; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 0; 320438.00; 300746.84; 0.22; 1; 1; 1; -1; -1; 2.00; 0; 1; 320438.00; 0.61; -1; -1; 0
Sc1-7; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 0; 367405.00; 343660.01; 0.26; 1; 1; 1; -1; -1; 2.00; 0; 1; 367405.00; 0.59; -1; -1; 0
Sc1-8; 1; 1; 195980.00; -1; 0; 0; 3288; 444; 30; 195980.00; 188039.69; 0.30; 1; 1; 1; -1; -1; 2.00; 0; 1; 195980.00; 0.62; -1; -1; 0
Sc1-9; 1; 1; 164420.00; -1; 0; 0; 3288; 444; 25; 164420.00; 155145.81; 0.28; 1; 1; 1; -1; -1; 2.00; 0; 1; 164420.00; 0.65; -1; -1; 0
Sc1-10; 1; 1; 195094.00; -1; 0; 0; 3288; 468; 115; 195094.00; 192990.59; 0.33; 1; 1; 1; -1; -1; 2.00; 0; 1; 195094.00; 0.62; -1; -1; 0
Sc1-11; 1; 1; 279463.00; -1; 0; 0; 3288; 468; 0; 279463.00; 231771.95; 0.27; 1; 1; 1; -1; -1; 2.00; 0; 1; 279463.00; 0.55; -1; -1; 0
Sc1-12; 1; 1; 465172.00; -1; 0; 0; 3288; 456; 88; 465172.00; 457865.39; 2.13; 1; 1; 1; -1; -1; 1.00; 0; 1; 465172.00; 2.42; -1; -1; 0
Sc1-13; 1; 1; 272844.00; -1; 0; 0; 3288; 456; 0; 272844.00; 253665.91; 0.23; 1; 1; 1; -1; -1; 2.00; 0; 1; 272844.00; 0.54; -1; -1; 0
Sc1-14; 1; 1; 306268.00; -1; 0; 0; 3288; 492; 54; 306268.00; 303842.80; 0.33; 1; 1; 1; -1; -1; 2.00; 0; 1; 306268.00; 0.62; -1; -1; 0
Sc1-15; 1; 1; 247693.00; -1; 0; 0; 3288; 432; 15; 247693.00; 239695.59; 0.29; 1; 1; 1; -1; -1; 2.00; 0; 1; 247693.00; 0.57; -1; -1; 0
Sc1-16; 1; 1; 288443.00; -1; 0; 0; 3288; 468; 111; 288443.00; 286262.64; 0.39; 1; 1; 1; -1; -1; 1.92; 0; 1; 288443.00; 0.71; -1; -1; 0
Sc1-17; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-18; 1; 1; 445751.00; -1; 0; 0; 3288; 504; 0; 445751.00; 406247.55; 0.21; 1; 1; 1; -1; -1; 2.00; 0; 1; 445751.00; 0.51; -1; -1; 0
Sc1-19; 1; 1; 252595.00; -1; 0; 0; 3288; 480; 18; 252595.00; 239895.57; 0.27; 1; 1; 1; -1; -1; 2.00; 0; 1; 252595.00; 0.57; -1; -1; 0
Sc1-20; 1; 1; 202776.00; -1; 1; 0; 3288; 456; 0; 202776.00; 202776.00; 0.10; 0; 1; 1; -1; -1; -1.00; -1; 0; 202776.00; 0.12; -1; -1; 0
Sc2-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-5; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-6; 1; 1; 340442.00; -1; 0; 0; 13500; 1872; 562; 340442.00; 339840.05; 3.24; 1; 1; 1; -1; -1; 2.83; 0; 102; 340442.00; 4.08; -1; -1; 12
Sc2-7; 1; 1; 515906.00; -1; 0; 0; 13500; 1656; 0; 515934.00; 440836.14; 0.42; 1; 1; 1; -1; -1; 2.83; 0; 102; 515906.00; 2.15; -1; -1; 12
Sc2-8; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-9; 1; 1; 218447.00; -1; 0; 0; 13500; 1548; 0; 218447.00; 204085.47; 0.41; 1; 1; 1; -1; -1; 2.92; 0; 1; 218447.00; 1.62; -1; -1; 12
Sc2-10; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-11; 1; 1; 371170.00; -1; 0; 0; 13500; 1512; 0; 371170.00; 344717.14; 0.35; 1; 1; 1; -1; -1; 2.83; 0; 1; 371170.00; 0.81; -1; -1; 12
Sc2-12; 1; 1; 336176.00; -1; 0; 0; 13500; 1728; 0; 336176.00; 292907.12; 0.42; 1; 1; 1; -1; -1; 2.83; 7; 1; 336176.00; 2.56; -1; -1; 12
Sc2-13; 1; 1; 196254.00; -1; 0; 0; 13500; 1656; 850; 196254.00; 196086.00; 0.51; 1; 1; 1; -1; -1; 3.00; 0; 1; 196254.00; 1.04; -1; -1; 12
Sc2-14; 1; 1; 299215.00; -1; 0; 0; 13500; 1548; 0; 299215.00; 247967.34; 0.42; 1; 1; 1; -1; -1; 2.83; 260; 102; 299215.00; 8.61; -1; -1; 12
