Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc1-1; 1; 1; 233522.00; 0.05; 2; 0; 0; 1;  272525.00; 0.00; 2
Sc1-2; 1; 1; 445665.00; 0.05; 2; 0; 0; 1;  572046.00; 0.00; 1
Sc1-3; 1; 1; 280414.00; 0.34; 2; 0; 0; 1;  386385.00; 0.00; 1
Sc1-4; 1; 1; 210152.00; 0.03; 2; 0; 0; 1;  210152.00; 0.00; 2
Sc1-5; 1; 1; 219096.00; 0.05; 1; 0; 0; 1;  241176.00; 0.00; 1
Sc1-6; 1; 1; 115239.00; 0.06; 2; 0; 0; 1;  116563.00; 0.00; 2
Sc1-7; 0; 0; 9999999.00; 0.01; -1; 0; 0; 0;  354700.00; 0.00; 1
Sc1-8; 1; 1; 151639.00; 0.08; 2; 0; 0; 1;  158799.00; 0.00; 1
Sc1-9; 1; 1; 143106.00; 0.05; 1; 0; 0; 1;  177887.00; 0.00; 1
Sc1-10; 0; 0; 9999999.00; 0.03; -1; 0; 0; 0;  207990.00; 0.00; 2
Sc1-11; 1; 1; 244991.00; 0.05; 2; 0; 0; 1;  287936.00; 0.00; 1
Sc1-12; 0; 0; 9999999.00; 0.01; -1; 0; 0; 0;  365053.00; 0.00; 2
Sc1-13; 1; 1; 197057.00; 0.05; 2; 0; 0; 1;  230607.00; 0.01; 1
Sc1-14; 1; 1; 171646.00; 0.09; 2; 0; 0; 1;  173410.00; 0.00; 2
Sc1-15; 1; 1; 193059.00; 0.03; 1; 0; 0; 1;  235078.00; 0.00; 1
Sc1-16; 0; 0; 9999999.00; 0.01; -1; 0; 0; 0;  189325.00; 0.00; 1
Sc1-17; 1; 1; 353659.00; 0.05; 2; 0; 0; 1;  353659.00; 0.00; 2
Sc1-18; 1; 1; 395380.00; 0.12; 2; 0; 0; 1;  762324.00; 0.00; 1
Sc1-19; 1; 1; 289993.00; 0.05; 2; 0; 0; 1;  352078.00; 0.00; 1
Sc1-20; 1; 1; 176311.00; 0.09; 2; 0; 0; 1;  180542.00; 0.00; 2
Sc2-1; 1; 1; 452698.00; 0.19; 2; 0; 0; 1;  494633.00; 0.00; 1
Sc2-2; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  422913.00; 0.00; 2
Sc2-3; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  418812.00; 0.00; 2
Sc2-4; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  263004.00; 0.00; 2
Sc2-5; 1; 1; 409407.00; 0.27; 3; 0; 0; 1;  582826.00; 0.00; 2
Sc2-6; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  506955.00; 0.00; 2
Sc2-7; 1; 1; 245849.00; 0.55; 2; 0; 0; 0;  257792.00; 0.00; 2
Sc2-8; 1; 1; 365692.00; 0.16; 2; 0; 0; 1;  404486.00; 0.00; 2
Sc2-9; 1; 1; 419132.00; 0.12; 2; 0; 0; 1;  532996.00; 0.00; 2
Sc2-10; 1; 1; 380785.00; 0.36; 2; 0; 0; 1;  398925.00; 0.00; 2
Sc2-11; 1; 1; 367516.00; 0.44; 2; 0; 0; 1;  490355.00; 0.00; 2
Sc2-12; 1; 1; 172681.00; 0.41; 3; 0; 0; 1;  185961.00; 0.00; 2
Sc2-13; 1; 1; 667972.00; 0.19; 2; 0; 0; 1;  814315.00; 0.00; 1
Sc2-14; 1; 1; 338842.00; 0.84; 3; 0; 0; 1;  425146.00; 0.01; 2
Sc2-15; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  314022.00; 0.00; 2
Sc2-16; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  185990.00; 0.00; 2
Sc2-17; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  822045.00; 0.00; 1
Sc2-18; 1; 1; 421861.00; 0.34; 2; 0; 0; 1;  479136.00; 0.00; 2
Sc2-19; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  380426.00; 0.00; 1
Sc2-20; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  478220.00; 0.00; 2
Sc3-1; 0; 0; 9999999.00; 0.36; -1; 0; 0; 0;  823551.00; 0.00; 3
Sc3-2; 1; 1; 1024208.00; 5.88; 3; 0; 0; 0;  917231.00; 0.00; 3
Sc3-3; 1; 1; 904866.00; 9.73; 3; 0; 0; 0;  1012305.00; 0.00; 3
Sc3-4; 0; 0; 9999999.00; 0.64; -1; 0; 0; 0;  1061197.00; 0.00; 3
Sc3-5; 1; 1; 878595.00; 2.34; 3; 0; 0; 0;  948756.00; 0.00; 2
Sc3-6; 1; 1; 705021.00; 97.34; 4; 0; 0; 0;  692195.00; 0.00; 3
Sc3-7; 1; 1; 477501.00; 5.19; 3; 0; 0; 1;  584593.00; 0.00; 3
