Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc1-1; 1; 1; 233522.00; 0.05; 2; 0; 0; 1;  233522.00; 0.05; 2
Sc1-2; 1; 1; 445665.00; 0.05; 2; 0; 0; 1;  445665.00; 0.06; 2
Sc1-3; 1; 1; 280414.00; 0.34; 2; 0; 0; 1;  280414.00; 0.20; 2
Sc1-4; 1; 1; 210152.00; 0.03; 2; 0; 0; 1;  210152.00; 0.03; 2
Sc1-5; 1; 1; 219096.00; 0.05; 1; 0; 0; 1;  219096.00; 0.05; 1
Sc1-6; 1; 1; 115239.00; 0.06; 2; 0; 0; 1;  115239.00; 0.05; 2
Sc1-7; 0; 0; 9999999.00; 0.01; -1; 0; 0; 0;  9999999.00; 0.01; -1
Sc1-8; 1; 1; 151639.00; 0.08; 2; 0; 0; 1;  151639.00; 0.16; 2
Sc1-9; 1; 1; 143106.00; 0.05; 1; 0; 0; 1;  143106.00; 0.05; 1
Sc1-10; 0; 0; 9999999.00; 0.03; -1; 0; 0; 0;  9999999.00; 0.01; -1
Sc1-11; 1; 1; 244991.00; 0.05; 2; 0; 0; 1;  244991.00; 0.05; 2
Sc1-12; 0; 0; 9999999.00; 0.01; -1; 0; 0; 0;  9999999.00; 0.03; -1
Sc1-13; 1; 1; 197057.00; 0.05; 2; 0; 0; 1;  197057.00; 0.06; 2
Sc1-14; 1; 1; 171646.00; 0.09; 2; 0; 0; 1;  171646.00; 0.14; 2
Sc1-15; 1; 1; 193059.00; 0.03; 1; 0; 0; 1;  193059.00; 0.03; 1
Sc1-16; 0; 0; 9999999.00; 0.01; -1; 0; 0; 0;  9999999.00; 0.01; -1
Sc1-17; 1; 1; 353659.00; 0.05; 2; 0; 0; 1;  353659.00; 0.03; 2
Sc1-18; 1; 1; 395380.00; 0.12; 2; 0; 0; 1;  395380.00; 0.05; 2
Sc1-19; 1; 1; 289993.00; 0.05; 2; 0; 0; 1;  289993.00; 0.03; 2
Sc1-20; 1; 1; 176311.00; 0.09; 2; 0; 0; 1;  176311.00; 0.03; 2
Sc2-1; 1; 1; 452698.00; 0.19; 2; 0; 0; 1;  452698.00; 0.17; 2
Sc2-2; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  9999999.00; 0.08; -1
Sc2-3; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.08; -1
Sc2-4; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-5; 1; 1; 409407.00; 0.27; 3; 0; 0; 1;  409407.00; 0.27; 3
