Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); isFea(H1); sol(H1); time(H1); isFea(H2); sol(H2); time(H2); isOptNoPre; isAllFixed; LB; UB; nbBool; nbFixed; nbBoolX; nbFixedX
Sc1-1; 0; 0; 9999999.00; 0.02; 0; 0.00; 0.00; 0; 0.00; 0.00; 0; 0; 0.00; 0.00; 0; 0; 0; 0
Sc1-2; 1; 1; 515201.00; 0.02; 1; 614993.00; 0.00; 1; 515201.00; 0.02; 0; 0; 514416.64; 515201.00; 3288; 255; 192; 79
Sc1-3; 1; 1; 377075.00; 0.03; 1; 386649.00; 0.00; 1; 377075.00; 0.03; 0; 0; 321882.22; 377075.00; 3288; 0; 192; 0
Sc1-4; 1; 1; 235565.00; 0.02; 1; 258267.00; 0.00; 1; 235565.00; 0.02; 0; 0; 233094.52; 235565.00; 3288; 73; 192; 22
Sc1-5; 1; 1; 149514.00; 0.04; 1; 159058.00; 0.00; 1; 150480.00; 0.03; 0; 0; 144433.76; 150480.00; 3288; 0; 192; 0
Sc1-6; 1; 1; 320438.00; 0.04; 1; 371707.00; 0.00; 1; 320438.00; 0.04; 0; 0; 300746.84; 320438.00; 3288; 0; 192; 0
Sc1-7; 1; 1; 367405.00; 0.04; 1; 395744.00; 0.00; 1; 367405.00; 0.04; 0; 0; 343660.01; 367405.00; 3288; 0; 192; 0
Sc1-8; 1; 1; 195980.00; 0.04; 1; 287345.00; 0.00; 1; 195980.00; 0.04; 0; 0; 188039.69; 195980.00; 3288; 30; 192; 12
Sc1-9; 1; 1; 164420.00; 0.04; 1; 274848.00; 0.00; 1; 164420.00; 0.04; 0; 0; 155145.81; 164420.00; 3288; 25; 192; 19
Sc1-10; 1; 1; 195094.00; 0.04; 1; 208479.00; 0.00; 1; 195094.00; 0.03; 0; 0; 192990.59; 195094.00; 3288; 115; 192; 29
Sc1-11; 1; 1; 279463.00; 0.02; 1; 279463.00; 0.00; 1; 279463.00; 0.02; 0; 0; 231771.95; 279463.00; 3288; 0; 192; 0
Sc1-12; 1; 1; 465172.00; 0.02; 1; 548071.00; 0.00; 1; 465172.00; 0.02; 0; 0; 457865.39; 465172.00; 3288; 88; 192; 21
Sc1-13; 1; 1; 272844.00; 0.04; 1; 275234.00; 0.00; 1; 272844.00; 0.04; 0; 0; 253665.91; 272844.00; 3288; 0; 192; 0
Sc1-14; 1; 1; 306268.00; 0.03; 1; 306268.00; 0.00; 1; 306268.00; 0.03; 0; 0; 303842.80; 306268.00; 3288; 54; 192; 12
Sc1-15; 1; 1; 247693.00; 0.02; 1; 272118.00; 0.00; 1; 247693.00; 0.02; 0; 0; 239695.59; 247693.00; 3288; 15; 192; 3
Sc1-16; 1; 1; 288443.00; 0.02; 1; 288443.00; 0.00; 1; 288443.00; 0.02; 0; 0; 286262.64; 288443.00; 3288; 111; 192; 33
Sc1-17; 0; 0; 9999999.00; 0.01; 0; 0.00; 0.00; 0; 0.00; 0.00; 0; 0; 0.00; 0.00; 0; 0; 0; 0
Sc1-18; 1; 1; 445751.00; 0.04; 1; 722691.00; 0.00; 1; 445751.00; 0.03; 0; 0; 406247.55; 445751.00; 3288; 0; 192; 0
Sc1-19; 1; 1; 252595.00; 0.03; 1; 368503.00; 0.00; 1; 252595.00; 0.03; 0; 0; 239895.57; 252595.00; 3288; 18; 192; 0
Sc1-20; 1; 1; 202776.00; 0.02; 1; 232667.00; 0.00; 1; 202776.00; 0.02; 1; 0; 202776.00; 202776.00; 3288; 3288; 192; 192
Sc2-1; 0; 0; 9999999.00; 0.05; 0; 0.00; 0.00; 0; 0.00; 0.00; 0; 0; 0.00; 0.00; 0; 0; 0; 0
Sc2-2; 0; 0; 9999999.00; 0.05; 1; 614993.00; 0.00; 1; 515201.00; 0.02; 0; 0; 514416.64; 515201.00; 3288; 255; 192; 79
Sc2-3; 0; 0; 9999999.00; 0.04; 1; 386649.00; 0.00; 1; 377075.00; 0.03; 0; 0; 321882.22; 377075.00; 3288; 0; 192; 0
Sc2-4; 0; 0; 9999999.00; 0.04; 1; 258267.00; 0.00; 1; 235565.00; 0.02; 0; 0; 233094.52; 235565.00; 3288; 73; 192; 22
Sc2-5; 0; 0; 9999999.00; 0.04; 1; 159058.00; 0.00; 1; 150480.00; 0.03; 0; 0; 144433.76; 150480.00; 3288; 0; 192; 0
Sc2-6; 1; 1; 340442.00; 0.20; 1; 346234.00; 0.00; 1; 340442.00; 0.19; 0; 0; 339840.05; 340442.00; 13500; 562; 396; 106
Sc2-7; 1; 1; 515906.00; 0.37; 1; 559528.00; 0.00; 1; 515934.00; 0.26; 0; 0; 440836.14; 515934.00; 13500; 0; 396; 0
Sc2-8; 0; 0; 9999999.00; 0.04; 1; 287345.00; 0.00; 1; 195980.00; 0.04; 0; 0; 188039.69; 195980.00; 3288; 30; 192; 12
Sc2-9; 1; 1; 218447.00; 0.45; 1; 259091.00; 0.00; 1; 218447.00; 0.64; 0; 0; 204085.47; 218447.00; 13500; 0; 396; 0
Sc2-10; 0; 0; 9999999.00; 0.04; 1; 208479.00; 0.00; 1; 195094.00; 0.03; 0; 0; 192990.59; 195094.00; 3288; 115; 192; 29
Sc2-11; 1; 1; 371170.00; 0.10; 1; 542094.00; 0.00; 1; 371170.00; 0.11; 0; 0; 344717.14; 371170.00; 13500; 0; 396; 0
Sc2-12; 1; 1; 336176.00; 0.59; 1; 364802.00; 0.00; 1; 336176.00; 0.41; 0; 0; 292907.12; 336176.00; 13500; 0; 396; 0
Sc2-13; 1; 1; 196254.00; 0.20; 1; 265696.00; 0.00; 1; 196254.00; 0.19; 0; 0; 196086.00; 196254.00; 13500; 850; 396; 152
Sc2-14; 1; 1; 299215.00; 0.58; 1; 373836.00; 0.00; 1; 299215.00; 0.58; 0; 0; 247967.34; 299215.00; 13500; 0; 396; 0
Sc2-15; 1; 1; 448360.00; 0.13; 1; 469520.00; 0.00; 1; 448360.00; 0.13; 0; 0; 404030.00; 448360.00; 13500; 0; 396; 0
Sc2-16; 0; 0; 9999999.00; 0.05; 1; 288443.00; 0.00; 1; 288443.00; 0.02; 0; 0; 286262.64; 288443.00; 3288; 111; 192; 33
Sc2-17; 1; 1; 765950.00; 0.11; 1; 843005.00; 0.00; 1; 765950.00; 0.11; 0; 0; 719130.87; 765950.00; 13500; 0; 396; 0
Sc2-18; 1; 1; 480257.00; 0.10; 1; 480968.00; 0.00; 1; 483841.00; 0.08; 0; 0; 457288.33; 480968.00; 13500; 80; 396; 16
Sc2-19; 1; 1; 211334.00; 0.22; 1; 269790.00; 0.00; 1; 211334.00; 0.22; 0; 0; 211250.00; 211334.00; 13500; 960; 396; 168
Sc2-20; 0; 0; 9999999.00; 0.04; 1; 232667.00; 0.00; 1; 202776.00; 0.02; 1; 0; 202776.00; 202776.00; 3288; 3288; 192; 192
Sc3-1; 1; 1; 697406.00; 1.45; 0; 787136.00; 0.00; 1; 697406.00; 1.45; 0; 0; 669248.66; 697406.00; 43968; 0; 720; 0
Sc3-2; 1; 1; 1046434.00; 1.00; 0; 1165785.00; 0.00; 1; 1061265.00; 0.45; 0; 0; 1013478.06; 1061265.00; 43968; 0; 720; 0
Sc3-3; 0; 0; 9999999.00; 0.36; 1; 386649.00; 0.00; 1; 377075.00; 0.03; 0; 0; 321882.22; 377075.00; 3288; 0; 192; 0
Sc3-4; 1; 1; 681550.00; 1.39; 1; 806137.00; 0.00; 1; 685407.00; 0.83; 0; 0; 651590.14; 685407.00; 43968; 0; 720; 0
Sc3-5; 1; 1; 642969.00; 0.63; 1; 824045.00; 0.00; 1; 649468.00; 0.48; 0; 0; 625005.41; 649468.00; 43968; 0; 720; 0
Sc3-6; 1; 1; 649678.00; 1.64; 1; 806813.00; 0.00; 1; 650804.00; 0.77; 0; 0; 632475.68; 650804.00; 43968; 18; 720; 1
Sc3-7; 1; 1; 685571.00; 0.68; 1; 798349.00; 0.00; 1; 697925.00; 0.45; 0; 0; 652988.44; 697925.00; 43968; 0; 720; 0
Sc3-8; 1; 1; 691744.00; 1.43; 0; 862747.00; 0.00; 1; 693681.00; 0.78; 0; 0; 621759.79; 693681.00; 43968; 0; 720; 0
Sc3-9; 1; 1; 478191.00; 0.76; 1; 627669.00; 0.00; 1; 478191.00; 0.75; 0; 0; 457718.73; 478191.00; 43968; 30; 720; 5
Sc3-10; 1; 1; 578628.00; 0.31; 1; 706837.00; 0.00; 1; 578628.00; 0.30; 0; 0; 562194.14; 578628.00; 43968; 6; 720; 6
Sc3-11; 1; 1; 620056.00; 0.49; 1; 768273.00; 0.00; 1; 621243.00; 0.38; 0; 0; 606881.91; 621243.00; 43968; 183; 720; 8
Sc3-12; 1; 1; 854297.00; 1.40; 1; 899288.00; 0.00; 1; 856078.00; 0.44; 0; 0; 824049.77; 856078.00; 43968; 0; 720; 0
Sc3-13; 1; 1; 534848.00; 1.59; 0; 774264.00; 0.00; 1; 538648.00; 0.72; 0; 0; 520218.28; 538648.00; 43968; 4; 720; 4
Sc3-14; 1; 1; 768176.00; 2.02; 0; 837239.00; 0.00; 1; 768176.00; 2.00; 0; 0; 717239.71; 768176.00; 43968; 0; 720; 0
Sc3-15; 1; 1; 656760.00; 0.55; 1; 815778.00; 0.00; 1; 656760.00; 0.53; 0; 0; 635367.16; 656760.00; 43968; 9; 720; 0
Sc3-16; 1; 1; 426840.00; 0.53; 1; 560883.00; 0.00; 1; 426840.00; 0.52; 0; 0; 422144.06; 426840.00; 43968; 471; 720; 53
Sc3-17; 1; 1; 614073.00; 30.09; 1; 971789.00; 0.00; 1; 614073.00; 2.43; 0; 0; 586937.32; 614073.00; 43968; 0; 720; 0
Sc3-18; 1; 1; 889584.00; 1.62; 1; 993781.00; 0.00; 1; 893973.00; 0.63; 0; 0; 836275.08; 893973.00; 43968; 0; 720; 0
Sc3-19; 1; 1; 779883.00; 0.57; 0; 866737.00; 0.00; 1; 779883.00; 0.56; 0; 0; 745922.20; 779883.00; 43968; 0; 720; 0
Sc3-20; 1; 1; 586218.00; 0.39; 1; 654793.00; 0.00; 1; 586218.00; 0.36; 0; 0; 568243.96; 586218.00; 43968; 0; 720; 0
