 1-cutSeuil;4_1;4_2;4_3;4_10;4_17;;5_4;5_5;5_13;5_16;5_18;;6_6;6_11;6_12;6_18;6_20
200; 82.08; 724.68; 108.06; 59.79; 115.61;; 135.92; 35.80; 94.75; 270.84; 410.57;; 163.17; 280.02; 205.67; 306.30; 60.87
400; 107.38; 530.37; 113.71; 63.30; 195.09;; 88.14; 39.26; 115.25; 212.76; 325.95;; 138.13; 346.97; 340.88; 200.00; 104.45
600; 99.16; 615.12; 93.94; 58.06; 130.76;; 166.03; 35.78; 94.44; 200.11; 288.15;; 145.59; 212.01; 243.15; 182.42; 102.99
800; 107.21; 698.28; 146.09; 51.15; 179.96;; 81.51; 30.68; 98.70; 322.46; 365.69;; 139.13; 418.65; 171.38; 334.50; 128.41
1000; 83.65; 517.57; 142.44; 49.22; 148.96;; 97.93; 28.20; 99.29; 336.62; 369.41;; 156.40; 278.14; 294.99; 254.93; 127.67
1200; 114.80; 900.91; 111.16; 76.22; 136.89;; 123.02; 43.60; 111.78; 178.51; 262.00;; 176.70; 315.58; 162.83; 220.75; 91.02
1400; 104.80; 524.21; 105.22; 80.32; 150.86;; 130.24; 43.48; 91.89; 283.57; 350.52;; 140.21; 169.54; 236.63; 326.61; 152.83
1600; 124.61; 577.45; 111.80; 71.74; 156.54;; 104.63; 57.05; 97.41; 171.19; 373.93;; 246.97; 442.01; 233.78; 168.63; 204.95
1800; 97.19; 512.48; 110.07; 65.00; 142.75;; 102.50; 42.31; 91.64; 209.75; 414.18;; 184.53; 272.57; 221.78; 215.63; 135.39
2000; 103.93; 861.39; 107.70; 111.43; 193.89;; 98.00; 41.65; 98.45; 203.17; 352.93;; 161.16; 369.23; 231.47; 282.10; 194.28
2200; 117.54; 512.92; 161.71; 108.62; 145.14;; 98.76; 34.02; 94.85; 211.51; 549.86;; 169.58; 337.15; 182.56; 247.97; 194.59
2400; 97.87; 788.09;; 93.97; 133.97;; 110.97; 34.40; 99.54; 221.01; 415.37;; 149.54; 258.30; 197.22; 336.03; 219.05
2600; 127.81; 739.19;;; 106.98;; 110.26; 49.37; 114.18; 263.65; 308.82;; 163.72; 251.50; 184.68; 249.78; 92.55
;;;;; 62.24;;; 55.63; 95.34; 330.11; 505.52;; 193.23; 396.37; 247.91; 212.06; 186.26
;;;;;;;; 26.16; 100.52; 340.79; 449.64;; 205.20; 393.33; 316.24; 269.30; 120.37
;;;;;;;;; 87.89; 340.80; 367.79;; 125.26; 274.33; 244.32; 291.06; 208.07
;;;;;;;;; 87.67; 340.35; 514.83;; 206.18; 176.96; 309.96; 243.90; 123.83
;;;;;;;;;;; 360.82;; 221.94; 290.39; 182.67; 407.44; 292.93
;;;;;;;;;;; 308.51;; 151.72; 209.28; 336.12; 407.87; 258.36
;;;;;;;;;;;;; 144.06; 419.36; 262.51;; 259.28
;;;;;;;;;;;;; 150.29; 480.01; 358.43;; 259.23
;;;;;;;;;;;;; 165.85; 619.54; 359.10;;
;;;;;;;;;;;;; 169.90; 309.71; 358.07;;
;;;;;;;;;;;;; 166.39; 310.29;;;
;;;;;;;;;;;;;; 309.67;;;
