Sc(N/M); tempsTotal; tempsTotal_mipstart;Dev;;;;
Sc1-2;0,08;0,14;75,00;;;;
Sc1-3;0,08;0,19;137,50;;;;
Sc1-4;0,06;0,05;-16,67;;;;
Sc1-5;0,06;0,05;-16,67;;;;
Sc1-6;0,08;0,09;12,50;;;;
Sc1-7;0,11;0,11;0,00;;;;
Sc1-8;0,08;0,09;12,50;;;;
Sc1-9;0,09;0,11;22,22;;;;
Sc1-10;0,05;0,05;0,00;;;;
Sc1-11;0,05;0,06;20,00;;;;
Sc1-12;0,05;0,03;-40,00;;;;
Sc1-13;0,11;0,11;0,00;;;;
Sc1-14;0,05;0,05;0,00;;;;
Sc1-15;0,05;0,05;0,00;;;;
Sc1-16;0,05;0,05;0,00;;;;
Sc1-18;0,08;0,11;37,50;;;;
Sc1-19;0,06;0,06;0,00;;;;
Sc1-20;0,01;0,01;0,00;;;;
Sc2-6;0,31;0,33;6,45;;;;
Sc2-7;0,61;0,53;-13,11;;;;
Sc2-9;0,58;0,58;0,00;;;;
Sc2-11;0,2;0,22;10,00;;;;
Sc2-12;0,64;0,66;3,13;;;;
Sc2-13;0,25;0,28;12,00;;;;
Sc2-14;0,81;0,83;2,47;;;;
Sc2-15;0,29;0,34;17,24;;;;
Sc2-17;0,23;0,27;17,39;;;;
Sc2-18;0,25;0,28;12,00;;;;
Sc2-19;0,2;0,23;15,00;;;;
Sc3-1;1,84;1,73;-5,98;;;;
Sc3-2;1,72;1,86;8,14;;;;
Sc3-4;1,92;1,87;-2,60;;;;
Sc3-5;0,97;1,06;9,28;;;;
Sc3-6;2,21;2,39;8,14;;without mipstart;;
Sc3-7;1,03;1,08;4,85;;min;avg;max
Sc3-8;1,72;1,7;-1,16;;-37,86093786;-7,094776483;9,468108585
Sc3-9;1,36;1,14;-16,18;;-33,34986772;-7,74877576;22,20557387
Sc3-10;0,75;0,86;14,67;;-49,77263269;-7,644636546;51,32073148
Sc3-11;1,21;1,12;-7,44;;;;
Sc3-12;2,23;2,46;10,31;;;;
Sc3-13;2,56;2,36;-7,81;;;;
Sc3-14;2,43;1,81;-25,51;;;;
Sc3-15;1,33;1,25;-6,02;;;;
Sc3-16;0,83;0,83;0,00;;;;
Sc3-17;27,94;26,74;-4,29;;;;
Sc3-18;2,39;2,03;-15,06;;;;
Sc3-19;1,09;1,28;17,43;;;;
Sc3-20;0,97;1,04;7,22;;;;
Sc4-1;129,87;111,6;-14,07;;min;avg;max
Sc4-2;526,49;742,09;40,95;;-55,87;-6,39;44,34
Sc4-3;90,62;90,18;-0,49;;-57,72;-8,30;73,97
Sc4-4;8,6;7,61;-11,51;;-62,74;3,57;139,68
Sc4-5;7,18;6,46;-10,03;;;;
Sc4-6;1100,71;852,77;-22,53;;;;
Sc4-7;6,63;6,29;-5,13;;;;
Sc4-8;3,67;3,99;8,72;;;;
Sc4-9;1,4;1,59;13,57;;;;
Sc4-10;112,07;76,99;-31,30;;;;
Sc4-11;13,23;10,65;-19,50;;;;
Sc4-12;18,45;26,63;44,34;;;;
Sc4-13;28,7;28,67;-0,10;;;;
Sc4-14;12,65;8,83;-30,20;;;;
Sc4-15;6,94;7,32;5,48;;;;
Sc4-16;17,41;16,32;-6,26;;;;
Sc4-17;135,86;59,95;-55,87;;;;
Sc4-18;14,4;13,87;-3,68;;;;
Sc4-19;10,58;9,63;-8,98;;;;
Sc4-20;8,21;6,47;-21,19;;;;
Sc5-1;1806,19;1802,33;-0,21;;;;
Sc5-2;1811,32;1802,19;-0,50;;;;
Sc5-3;1808;1445,65;-20,04;;;;
Sc5-4;99,37;108,78;9,47;;;;
Sc5-5;60,48;25,57;-57,72;;;;
Sc5-6;1804,2;1803,49;-0,04;;;;
Sc5-7;1807,53;1801,55;-0,33;;;;
Sc5-8;536,09;522,29;-2,57;;;;
Sc5-9;1216,71;1087,28;-10,64;;;;
Sc5-10;646,26;1124,29;73,97;;;;
Sc5-11;1804,02;1236,96;-31,43;;;;
Sc5-12;788,49;708,87;-10,10;;;;
Sc5-13;95,94;80,68;-15,91;;;;
Sc5-14;1803,24;1011,76;-43,89;;;;
Sc5-16;266,2;200,68;-24,61;;;;
Sc5-17;1809,03;1802,6;-0,36;;;;
Sc5-18;266,96;250,44;-6,19;;;;
Sc6-2;635,06;1522,13;139,68;;;;
Sc6-3;1458,81;1730,4;18,62;;;;
Sc6-5;1808,68;1809,59;0,05;;;;
Sc6-6;172,85;192,19;11,19;;;;
Sc6-7;1804,97;1803,5;-0,08;;;;
Sc6-8;854,59;1506,68;76,30;;;;
Sc6-9;1241,65;1527,91;23,05;;;;
Sc6-10;1396;1804,35;29,25;;;;
Sc6-11;358,5;226,89;-36,71;;;;
Sc6-12;162,41;169,42;4,32;;;;
Sc6-13;1813,04;1554,45;-14,26;;;;
Sc6-14;1630,98;843,6;-48,28;;;;
Sc6-15;1809,76;1808,32;-0,08;;;;
Sc6-16;1321,65;827,74;-37,37;;;;
Sc6-17;1804,7;1803,61;-0,06;;;;
Sc6-18;346,06;212,58;-38,57;;;;
Sc6-19;1805,14;1804,88;-0,01;;;;
Sc6-20;273,08;101,76;-62,74;;;;
