Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc0-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-1; 1; 1; 515201.00; -1; 0; 1; 3288; 492; 492; 515201.00; 515201.00; 0.06; 0; 1; 1; -1; -1; -1.00; -1; 0; 515201.00; 0.06; -1; 300; -1
Sc0-2; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 348407.82; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; -1; 216; -1
Sc0-3; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; 204; -1
Sc0-4; 1; 1; 149514.00; -1; 0; 1; 3288; 492; 492; 149514.00; 149514.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 149514.00; 0.06; -1; 252; -1
Sc0-5; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 142; 320438.00; 318857.76; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; -1; 372; -1
Sc0-6; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 72; 367405.00; 362138.69; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.06; -1; 324; -1
Sc0-7; 1; 1; 195980.00; -1; 0; 0; 3288; 444; 30; 195980.00; 189371.52; 0.05; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; -1; 312; -1
Sc0-8; 1; 1; 164420.00; -1; 0; 0; 3288; 444; 37; 164420.00; 159086.27; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.06; -1; 240; -1
Sc0-9; 1; 1; 195094.00; -1; 0; 1; 3288; 468; 468; 195094.00; 195094.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 195094.00; 0.05; -1; 324; -1
