sc_itr;sol; time; isTimLim; isMemLim
Sc1-2; 515201.00; 0.01;0;0
Sc1-3; 377075.00; 0.03;0;0
Sc1-4; 235565.00; 0.03;0;0
Sc1-5; 150480.00; 0.03;0;0
Sc1-6; 320438.00; 0.05;0;0
Sc1-7; 367405.00; 0.05;0;0
Sc1-8; 195980.00; 0.03;0;0
Sc1-9; 164420.00; 0.03;0;0
Sc1-10; 195094.00; 0.03;0;0
Sc1-11; 279463.00; 0.01;0;0
Sc1-12; 465172.00; 0.03;0;0
Sc1-13; 272844.00; 0.05;0;0
Sc1-14; 306268.00; 0.03;0;0
Sc1-15; 247693.00; 0.01;0;0
Sc1-16; 288443.00; 0.01;0;0
Sc1-18; 445751.00; 0.03;0;0
Sc1-19; 252595.00; 0.03;0;0
Sc1-20; 202776.00; 0.01;0;0
Sc2-6; 340442.00; 0.19;0;0
Sc2-7; 515934.00; 0.25;0;0
Sc2-9; 218447.00; 0.36;0;0
Sc2-11; 371170.00; 0.09;0;0
Sc2-12; 336176.00; 0.41;0;0
Sc2-13; 196254.00; 0.19;0;0
Sc2-14; 299215.00; 0.56;0;0
Sc2-15; 448360.00; 0.12;0;0
Sc2-17; 765950.00; 0.11;0;0
Sc2-18; 483841.00; 0.08;0;0
Sc2-19; 211334.00; 0.20;0;0
Sc3-1; 697406.00; 1.42;0;0
Sc3-2; 1061265.00; 0.44;0;0
Sc3-4; 685407.00; 0.81;0;0
Sc3-5; 649468.00; 0.47;0;0
Sc3-6; 650804.00; 0.75;0;0
Sc3-7; 697925.00; 0.45;0;0
Sc3-8; 693681.00; 0.78;0;0
Sc3-9; 478191.00; 0.74;0;0
Sc3-10; 578628.00; 0.30;0;0
Sc3-11; 621243.00; 0.39;0;0
Sc3-12; 856078.00; 0.43;0;0
Sc3-13; 538648.00; 0.71;0;0
Sc3-14; 768176.00; 2.00;0;0
Sc3-15; 656760.00; 0.53;0;0
Sc3-16; 426840.00; 0.52;0;0
Sc3-17; 614073.00; 2.40;0;0
Sc3-18; 893973.00; 0.62;0;0
Sc3-19; 779883.00; 0.56;0;0
Sc3-20; 586218.00; 0.36;0;0
Sc4-1; 784991.00; 17.69;0;0
Sc4-2; 862141.00; 200.19;1;0
Sc4-3; 980050.00; 23.27;0;0
Sc4-4; 829155.00; 2.42;0;0
Sc4-5; 631066.00; 3.82;0;0
Sc4-6; 666412.00; 200.18;1;0
Sc4-7; 686324.00; 1.26;0;0
Sc4-8; 691608.00; 1.04;0;0
Sc4-9; 524059.00; 0.87;0;0
Sc4-10; 594336.00; 29.33;0;0
Sc4-11; 774630.00; 5.52;0;0
Sc4-12; 884958.00; 4.52;0;0
Sc4-13; 1069568.00; 15.85;0;0
Sc4-14; 779714.00; 7.61;0;0
Sc4-15; 562622.00; 1.97;0;0
Sc4-16; 830473.00; 13.07;0;0
Sc4-17; 1003591.00; 68.69;0;0
Sc4-18; 721179.00; 1.92;0;0
Sc4-19; 1265815.00; 7.89;0;0
Sc4-20; 786200.00; 2.12;0;0
Sc5-1; 1195645.00; 200.23;1;0
Sc5-2; 982256.00; 200.26;1;0
