Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2;;Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2;;Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2
Sc4-10;0;594336;566985,26;9300;0;4164;102;113,27;2304;;Sc5-13;0;977110;945875,04;11760;0;1831;102;96,37;3360;;Sc6-6;0;1309111;1221152,73;18900;0;6816;102;173,82;4692
Sc4-10;1;594336;566985,26;9300;0;3433;102;76,01;132;;Sc5-13;1;977110;945654,02;11760;0;4346;102;101,99;120;;Sc6-6;1;1309111;1219962,41;18900;0;9347;102;167,01;168
Sc4-10;2;594336;566985,26;9300;0;4273;102;64,81;288;;Sc5-13;2;977110;945654,02;11760;0;2060;102;73,52;252;;Sc6-6;2;1309111;1219962,41;18900;0;8011;102;143,62;336
Sc4-10;3;594336;566985,26;9300;0;5318;102;66,89;456;;Sc5-13;3;977110;945875,04;11760;0;3179;102;84,83;408;;Sc6-6;3;1309111;1221152,73;18900;0;6367;102;156,6;528
Sc4-10;4;594336;566985,26;9300;0;3816;102;49,65;600;;Sc5-13;4;977110;945875,04;11760;0;3358;102;90,25;564;;Sc6-6;4;1309111;1221152,73;18900;0;6809;102;147,22;744
Sc4-10;5;594336;566985,26;9300;0;4354;102;50,66;720;;Sc5-13;5;977110;945875,04;11760;0;4172;102;105,9;720;;Sc6-6;5;1309111;1221152,73;18900;0;8868;102;173,04;936
Sc4-10;6;594336;566985,26;9300;0;4308;102;60,45;840;;Sc5-13;6;977110;945875,04;11760;0;3657;102;93,69;852;;Sc6-6;6;1309111;1221152,73;18900;0;7923;102;150,16;1128
Sc4-10;7;594336;566985,26;9300;0;2388;102;81,3;960;;Sc5-13;7;977110;945875,04;11760;0;3677;102;96,69;984;;Sc6-6;7;1309111;1221152,73;18900;0;5586;102;164,92;1320
Sc4-10;8;594336;566985,26;9300;0;3059;102;88,44;1080;;Sc5-13;8;977110;945875,04;11760;0;3043;102;74,28;1116;;Sc6-6;8;1309111;1221152,73;18900;0;10149;102;175,58;1512
Sc4-10;9;594336;566985,26;9300;0;2967;102;68,5;1176;;Sc5-13;9;977110;945875,04;11760;0;4953;102;113,39;1248;;Sc6-6;9;1309111;1221152,73;18900;0;6114;102;140,15;1704
Sc4-10;10;594336;566985,26;9300;0;4920;102;53,5;1272;;Sc5-13;10;977110;945875,04;11760;0;6401;102;120,97;1356;;Sc6-6;10;1309111;1221152,73;18900;0;6642;102;128,56;1872
Sc4-10;11;594336;566985,26;9300;0;1625;102;60,47;1368;;Sc5-13;11;977110;945875,04;11760;0;3272;102;83,13;1440;;Sc6-6;11;1309111;1221152,73;18900;0;11414;102;187,22;2016
Sc4-10;12;594336;566985,26;9300;0;4545;102;83,42;1464;;Sc5-13;12;977110;945875,04;11760;0;2651;102;84,55;1524;;Sc6-6;12;1309111;1221152,73;18900;0;8420;102;156,18;2160
Sc4-10;13;594336;566985,26;9300;0;4839;102;110,69;1536;;Sc5-13;13;977110;945875,04;11760;0;4934;102;82,78;1608;;Sc6-6;13;1309111;1221152,73;18900;0;8594;102;196,19;2304
Sc4-10;14;594336;566985,26;9300;0;3180;102;74,97;1596;;Sc5-13;14;977110;945875,04;11760;0;3078;102;78,43;1692;;Sc6-6;14;1309111;1221152,73;18900;0;6727;102;122,97;2424
Sc4-10;15;594336;566985,26;9300;0;2873;1;79,78;1656;;Sc5-13;15;977110;945875,04;11760;0;3783;102;111,4;1776;;Sc6-6;15;1309111;1221152,73;18900;0;6632;102;136,31;2544
Sc4-10;16;594336;566985,26;9300;0;5973;102;67,13;1716;;Sc5-13;16;977110;945875,04;11760;0;4290;102;81,25;1848;;Sc6-6;16;1309111;1221152,73;18900;0;6524;102;148,44;2664
Sc4-10;17;594336;566985,26;9300;0;5416;102;61,37;1752;;Sc5-13;17;977110;945875,04;11760;0;3460;102;89,82;1920;;Sc6-6;17;1309111;1221152,73;18900;0;11594;102;182,09;2784
Sc4-10;18;594336;566985,26;9300;0;1884;102;73,92;1788;;Sc5-13;18;977110;945875,04;11760;0;3746;102;99,79;1992;;Sc6-6;18;1309111;1221152,73;18900;0;8704;102;194,65;2904
Sc4-10;19;594336;566985,26;9300;0;3297;102;96,86;1824;;Sc5-13;19;977110;945875,04;11760;0;4689;102;105,5;2064;;Sc6-6;19;1309111;1221152,73;18900;0;8659;102;205,3;3000
Sc4-10;20;594336;566985,26;9300;0;1586;102;65,64;1860;;Sc5-13;20;977110;945875,04;11760;0;5509;102;91,19;2136;;Sc6-6;20;1309111;1221152,73;18900;0;8917;102;232,96;3096
Sc4-10;21;594336;566985,26;9300;0;3137;1;79,3;1896;;Sc5-13;21;977110;945875,04;11760;0;3209;102;108,94;2208;;Sc6-6;21;1309111;1221152,73;18900;0;8323;102;201,01;3192
Sc4-10;22;594336;566985,26;9300;0;1612;1;61,95;1932;;Sc5-13;22;977110;945875,04;11760;0;3562;102;112,86;2280;;Sc6-6;22;1309111;1221152,73;18900;0;15951;102;169,58;3288
Sc4-10;23;594336;566985,26;9300;0;4165;1;92,17;1968;;Sc5-13;23;977110;945875,04;11760;0;3202;102;97,8;2352;;Sc6-6;23;1309111;1221152,73;18900;0;8888;102;163,69;3372
Sc4-10;24;594336;566985,26;9300;0;3029;102;100,98;2004;;Sc5-13;24;977110;945875,04;11760;0;3039;102;92,73;2424;;Sc6-6;24;1309111;1221152,73;18900;0;8942;102;160,44;3456
Sc4-10;25;594336;566985,26;9300;0;4222;102;123,43;2040;;Sc5-13;25;977110;945875,04;11760;0;3645;102;110,27;2460;;Sc6-6;25;1309111;1221152,73;18900;0;5439;102;119,74;3540
Sc4-10;26;594336;566985,26;9300;0;2965;1;70,22;2076;;Sc5-13;26;977110;945875,04;11760;0;3661;102;136,01;2496;;Sc6-6;26;1309111;1221152,73;18900;0;5541;102;147,23;3588
