Sc(N/M); 1-cutLevel; UB; LB; nbVar; nbFixed; nbNode; statusCode; tempsTotal; nbConCut2
Sc4-7; 0; 686324.00; 673060.77; 8100; 120; 41; 102; 6.82; 2640
Sc4-7; 1; 686324.00; 672706.43; 8100; 120; 82; 102; 4.63; 96
Sc4-7; 2; 686324.00; 672783.82; 8100; 120; 32; 102; 5.63; 204
Sc4-7; 3; 686324.00; 673060.77; 8100; 120; 89; 102; 6.29; 348
Sc4-7; 4; 686324.00; 673060.77; 8100; 120; 36; 102; 6.08; 492
Sc4-7; 5; 686324.00; 673060.77; 8100; 120; 24; 102; 6.17; 636
Sc4-7; 6; 686324.00; 673060.77; 8100; 120; 18; 102; 5.91; 780
Sc4-7; 7; 686324.00; 673060.77; 8100; 120; 61; 102; 5.24; 924
Sc4-7; 8; 686324.00; 673060.77; 8100; 120; 21; 102; 6.17; 1068
Sc4-7; 9; 686324.00; 673060.77; 8100; 120; 36; 102; 6.26; 1212
Sc4-7; 10; 686324.00; 673060.77; 8100; 120; 50; 102; 6.14; 1308
Sc4-7; 11; 686324.00; 673060.77; 8100; 120; 26; 102; 6.67; 1404
Sc4-7; 12; 686324.00; 673060.77; 8100; 120; 69; 102; 6.63; 1500
Sc4-7; 13; 686324.00; 673060.77; 8100; 120; 36; 102; 7.26; 1572
Sc4-7; 14; 686324.00; 673060.77; 8100; 120; 57; 102; 6.02; 1644
Sc4-7; 15; 686324.00; 673060.77; 8100; 120; 60; 102; 5.90; 1716
Sc4-7; 16; 686324.00; 673060.77; 8100; 120; 67; 102; 5.98; 1788
Sc4-7; 17; 686324.00; 673060.77; 8100; 120; 44; 102; 6.93; 1860
Sc4-7; 18; 686324.00; 673060.77; 8100; 120; 41; 102; 6.78; 1932
Sc4-7; 19; 686324.00; 673060.77; 8100; 120; 80; 102; 5.71; 1992
Sc4-7; 20; 686324.00; 673060.77; 8100; 120; 38; 102; 5.65; 2052
Sc4-7; 21; 686324.00; 673060.77; 8100; 120; 62; 102; 6.38; 2112
Sc4-7; 22; 686324.00; 673060.77; 8100; 120; 36; 102; 5.82; 2148
Sc4-7; 23; 686324.00; 673060.77; 8100; 120; 58; 102; 6.61; 2184
Sc4-7; 24; 686324.00; 673060.77; 8100; 120; 61; 102; 5.96; 2220
Sc4-7; 25; 686324.00; 673060.77; 8100; 120; 66; 102; 5.92; 2256
Sc4-7; 26; 686324.00; 673060.77; 8100; 120; 30; 102; 5.80; 2292
Sc4-7; 27; 686324.00; 673060.77; 8100; 120; 36; 102; 5.61; 2328
Sc4-7; 28; 686324.00; 673060.77; 8100; 120; 54; 102; 6.53; 2364
Sc4-7; 29; 686324.00; 673060.77; 8100; 120; 45; 102; 5.73; 2400
Sc4-7; 30; 686324.00; 673060.77; 8100; 120; 31; 102; 6.34; 2436
Sc4-7; 31; 686324.00; 673060.77; 8100; 120; 105; 102; 5.84; 2472
Sc4-7; 32; 686324.00; 673060.77; 8100; 120; 108; 102; 6.82; 2508
Sc4-7; 33; 686324.00; 673060.77; 8100; 120; 0; 102; 7.56; 2544
Sc4-7; 34; 686324.00; 673060.77; 8100; 120; 36; 102; 5.93; 2556
Sc4-7; 35; 686324.00; 673060.77; 8100; 120; 43; 102; 5.26; 2568
Sc4-7; 36; 686324.00; 673060.77; 8100; 120; 30; 102; 6.61; 2580
Sc4-7; 37; 686324.00; 673060.77; 8100; 120; 58; 102; 6.08; 2592
Sc4-7; 38; 686324.00; 673060.77; 8100; 120; 55; 102; 6.85; 2604
Sc4-7; 39; 686324.00; 673060.77; 8100; 120; 67; 102; 6.26; 2616
Sc4-7; 40; 686324.00; 673060.77; 8100; 120; 26; 102; 6.50; 2628
Sc4-14; 0; 779714.00; 723250.93; 8940; 0; 235; 1; 12.73; 2124
Sc4-14; 1; 779714.00; 722636.16; 8940; 0; 277; 1; 7.14; 132
Sc4-14; 2; 779714.00; 722636.16; 8940; 0; 151; 1; 10.40; 288
Sc4-14; 3; 779714.00; 723250.93; 8940; 0; 187; 102; 8.58; 456
Sc4-14; 4; 779714.00; 723250.93; 8940; 0; 320; 1; 9.97; 600
Sc4-14; 5; 779714.00; 723250.93; 8940; 0; 304; 1; 9.38; 720
Sc4-14; 6; 779714.00; 723250.93; 8940; 0; 580; 102; 6.04; 816
Sc4-14; 7; 779714.00; 723250.93; 8940; 0; 232; 102; 8.90; 912
Sc4-14; 8; 779714.00; 723250.93; 8940; 0; 227; 102; 9.24; 1008
Sc4-14; 9; 779714.00; 723250.93; 8940; 0; 181; 1; 7.44; 1104
Sc4-14; 10; 779714.00; 723250.93; 8940; 0; 275; 1; 9.59; 1200
Sc4-14; 11; 779714.00; 723250.93; 8940; 0; 164; 102; 9.55; 1296
Sc4-14; 12; 779714.00; 723250.93; 8940; 0; 181; 102; 8.09; 1392
Sc4-14; 13; 779714.00; 723250.93; 8940; 0; 471; 1; 8.66; 1452
Sc4-14; 14; 779714.00; 723250.93; 8940; 0; 223; 1; 9.23; 1512
Sc4-14; 15; 779714.00; 723250.93; 8940; 0; 243; 102; 11.30; 1584
Sc4-14; 16; 779714.00; 723250.93; 8940; 0; 378; 1; 9.86; 1620
Sc4-14; 17; 779714.00; 723250.93; 8940; 0; 177; 102; 9.26; 1656
Sc4-14; 18; 779714.00; 723250.93; 8940; 0; 118; 1; 9.93; 1692
Sc4-14; 19; 779714.00; 723250.93; 8940; 0; 163; 1; 9.23; 1728
Sc4-14; 20; 779714.00; 723250.93; 8940; 0; 207; 1; 12.09; 1764
Sc4-14; 21; 779714.00; 723250.93; 8940; 0; 191; 102; 8.33; 1800
Sc4-14; 22; 779714.00; 723250.93; 8940; 0; 567; 102; 10.02; 1836
Sc4-14; 23; 779714.00; 723250.93; 8940; 0; 195; 102; 9.53; 1872
Sc4-14; 24; 779714.00; 723250.93; 8940; 0; 388; 1; 11.29; 1908
Sc4-14; 25; 779714.00; 723250.93; 8940; 0; 341; 1; 8.51; 1944
Sc4-14; 26; 779714.00; 723250.93; 8940; 0; 341; 1; 8.55; 1956
Sc4-14; 27; 779714.00; 723250.93; 8940; 0; 341; 1; 8.50; 1968
Sc4-14; 28; 779714.00; 723250.93; 8940; 0; 341; 1; 8.51; 1980
Sc4-14; 29; 779714.00; 723250.93; 8940; 0; 341; 1; 8.54; 1992
Sc4-14; 30; 779714.00; 723250.93; 8940; 0; 341; 1; 8.55; 2004
Sc4-14; 31; 779714.00; 723250.93; 8940; 0; 341; 1; 8.54; 2016
Sc4-14; 32; 779714.00; 723250.93; 8940; 0; 192; 102; 9.28; 2028
Sc4-14; 33; 779714.00; 723250.93; 8940; 0; 122; 1; 11.50; 2040
Sc4-14; 34; 779714.00; 723250.93; 8940; 0; 219; 1; 10.57; 2052
Sc4-14; 35; 779714.00; 723250.93; 8940; 0; 175; 1; 10.66; 2064
Sc4-14; 36; 779714.00; 723250.93; 8940; 0; 411; 102; 12.24; 2076
Sc4-14; 37; 779714.00; 723250.93; 8940; 0; 411; 102; 12.99; 2088
Sc4-14; 38; 779714.00; 723250.93; 8940; 0; 136; 1; 9.95; 2100
Sc4-14; 39; 779714.00; 723250.93; 8940; 0; 135; 1; 11.28; 2112
Sc4-18; 0; 721179.00; 698418.44; 8220; 0; 992; 102; 14.45; 2892
Sc4-18; 1; 721179.00; 698418.44; 8220; 0; 1507; 102; 13.17; 132
Sc4-18; 2; 721179.00; 698418.44; 8220; 0; 622; 102; 11.22; 288
Sc4-18; 3; 721179.00; 698418.44; 8220; 0; 397; 102; 7.63; 456
Sc4-18; 4; 721179.00; 698418.44; 8220; 0; 962; 102; 11.59; 600
Sc4-18; 5; 721179.00; 698418.44; 8220; 0; 1297; 102; 10.31; 744
Sc4-18; 6; 721179.00; 698418.44; 8220; 0; 1114; 102; 11.45; 888
Sc4-18; 7; 721179.00; 698418.44; 8220; 0; 1287; 102; 13.45; 1032
Sc4-18; 8; 721179.00; 698418.44; 8220; 0; 2460; 102; 14.41; 1176
Sc4-18; 9; 721179.00; 698418.44; 8220; 0; 839; 102; 12.42; 1320
Sc4-18; 10; 721179.00; 698418.44; 8220; 0; 1486; 102; 14.28; 1416
Sc4-18; 11; 721179.00; 698418.44; 8220; 0; 2002; 102; 14.81; 1512
Sc4-18; 12; 721179.00; 698418.44; 8220; 0; 1162; 102; 13.32; 1608
Sc4-18; 13; 721179.00; 698418.44; 8220; 0; 1687; 102; 13.20; 1704
Sc4-18; 14; 721179.00; 698418.44; 8220; 0; 1378; 102; 11.74; 1776
Sc4-18; 15; 721179.00; 698418.44; 8220; 0; 1177; 102; 13.35; 1848
Sc4-18; 16; 721179.00; 698418.44; 8220; 0; 1816; 102; 15.60; 1920
Sc4-18; 17; 721179.00; 698418.44; 8220; 0; 2657; 102; 14.70; 1992
Sc4-18; 18; 721179.00; 698418.44; 8220; 0; 1840; 102; 16.20; 2064
Sc4-18; 19; 721179.00; 698418.44; 8220; 0; 946; 102; 12.20; 2124
Sc4-18; 20; 721179.00; 698418.44; 8220; 0; 897; 102; 13.29; 2184
Sc4-18; 21; 721179.00; 698418.44; 8220; 0; 1116; 102; 13.84; 2244
Sc4-18; 22; 721179.00; 698418.44; 8220; 0; 1002; 102; 14.43; 2280
Sc4-18; 23; 721179.00; 698418.44; 8220; 0; 1511; 102; 15.31; 2316
Sc4-18; 24; 721179.00; 698418.44; 8220; 0; 1646; 102; 15.23; 2352
Sc4-18; 25; 721179.00; 698418.44; 8220; 0; 1329; 102; 15.30; 2388
Sc4-18; 26; 721179.00; 698418.44; 8220; 0; 844; 102; 11.50; 2424
Sc4-18; 27; 721179.00; 698418.44; 8220; 0; 924; 102; 11.55; 2460
Sc4-18; 28; 721179.00; 698418.44; 8220; 0; 839; 102; 12.20; 2496
Sc4-18; 29; 721179.00; 698418.44; 8220; 0; 1705; 102; 17.77; 2532
Sc4-18; 30; 721179.00; 698418.44; 8220; 0; 843; 102; 12.29; 2568
Sc4-18; 31; 721179.00; 698418.44; 8220; 0; 692; 102; 14.44; 2604
Sc4-18; 32; 721179.00; 698418.44; 8220; 0; 1682; 102; 15.84; 2640
Sc4-18; 33; 721179.00; 698418.44; 8220; 0; 1671; 102; 17.97; 2676
Sc4-18; 34; 721179.00; 698418.44; 8220; 0; 1085; 102; 17.36; 2712
Sc4-18; 35; 721179.00; 698418.44; 8220; 0; 1194; 102; 15.97; 2748
Sc4-18; 36; 721179.00; 698418.44; 8220; 0; 562; 102; 13.09; 2784
Sc4-18; 37; 721179.00; 698418.44; 8220; 0; 1447; 102; 16.16; 2796
Sc4-18; 38; 721179.00; 698418.44; 8220; 0; 977; 102; 14.05; 2808
Sc4-18; 39; 721179.00; 698418.44; 8220; 0; 1340; 102; 14.06; 2820
Sc4-18; 40; 721179.00; 698418.44; 8220; 0; 1317; 102; 14.01; 2832
Sc4-18; 41; 721179.00; 698418.44; 8220; 0; 1686; 102; 17.85; 2844
Sc4-18; 42; 721179.00; 698418.44; 8220; 0; 1567; 102; 16.75; 2856
Sc4-18; 43; 721179.00; 698418.44; 8220; 0; 2040; 102; 14.05; 2868
Sc4-18; 44; 721179.00; 698418.44; 8220; 0; 1884; 102; 15.93; 2880
Sc5-11; 0; 1360047.00; 1233531.78; 11640; 0; 32995; 11; 1804.07; 3696
Sc5-11; 1; 1360047.00; 1233301.63; 11640; 0; 28865; 11; 1803.77; 132
Sc5-11; 2; 1360047.00; 1233301.63; 11640; 0; 15351; 111; 635.93; 264
Sc5-11; 3; 1360047.00; 1233531.78; 11640; 0; 38869; 11; 1803.28; 420
Sc5-11; 4; 1360047.00; 1233531.78; 11640; 0; 34555; 111; 1733.17; 576
Sc5-11; 5; 1360047.00; 1233531.78; 11640; 0; 19733; 111; 1122.27; 732
Sc5-11; 6; 1360047.00; 1233531.78; 11640; 0; 34208; 11; 1803.27; 864
Sc5-11; 7; 1360047.00; 1233531.78; 11640; 0; 19316; 111; 973.40; 996
Sc5-11; 8; 1360047.00; 1233531.78; 11640; 0; 58514; 11; 1803.42; 1152
Sc5-11; 9; 1360047.00; 1233531.78; 11640; 0; 25362; 111; 1183.86; 1308
Sc5-11; 10; 1360047.00; 1233531.78; 11640; 0; 18197; 111; 871.73; 1440
Sc5-11; 11; 1360047.00; 1233531.78; 11640; 0; 24612; 111; 1255.85; 1548
Sc5-11; 12; 1360047.00; 1233531.78; 11640; 0; 13823; 111; 762.40; 1656
Sc5-11; 13; 1360047.00; 1233531.78; 11640; 0; 19726; 111; 1244.66; 1764
Sc5-11; 14; 1360047.00; 1233531.78; 11640; 0; 26559; 11; 1803.17; 1872
Sc5-11; 15; 1360047.00; 1233531.78; 11640; 0; 17068; 111; 863.99; 1968
Sc5-11; 16; 1360047.00; 1233531.78; 11640; 0; 62784; 102; 1702.92; 2064
Sc5-11; 17; 1360047.00; 1233531.78; 11640; 0; 41181; 111; 1323.05; 2160
Sc5-11; 18; 1360047.00; 1233531.78; 11640; 0; 25084; 111; 1014.81; 2256
Sc5-11; 19; 1360047.00; 1233531.78; 11640; 0; 49804; 11; 1804.06; 2328
Sc5-11; 20; 1360047.00; 1233531.78; 11640; 0; 14212; 111; 737.45; 2400
Sc5-11; 21; 1360047.00; 1233531.78; 11640; 0; 26219; 11; 1803.81; 2472
Sc5-11; 22; 1360047.00; 1233531.78; 11640; 0; 23302; 11; 1803.84; 2544
Sc5-11; 23; 1360047.00; 1233531.78; 11640; 0; 25186; 11; 1803.64; 2616
Sc5-11; 24; 1360047.00; 1233531.78; 11640; 0; 25897; 11; 1804.10; 2688
Sc5-11; 25; 1360047.00; 1233531.78; 11640; 0; 14004; 111; 788.00; 2760
Sc5-11; 26; 1360047.00; 1233531.78; 11640; 0; 19438; 11; 1804.17; 2832
Sc5-11; 27; 1360047.00; 1233531.78; 11640; 0; 45473; 11; 1804.21; 2868
Sc5-11; 28; 1360047.00; 1233531.78; 11640; 0; 24989; 11; 1804.13; 2904
Sc5-11; 29; 1360047.00; 1233531.78; 11640; 0; 27906; 11; 1803.91; 2940
Sc5-11; 30; 1360047.00; 1233531.78; 11640; 0; 16460; 111; 1005.84; 2976
Sc5-11; 31; 1360047.00; 1233531.78; 11640; 0; 26761; 11; 1803.93; 3012
Sc5-11; 32; 1360047.00; 1233531.78; 11640; 0; 38459; 111; 1518.48; 3048
Sc5-11; 33; 1360047.00; 1233531.78; 11640; 0; 15359; 111; 827.17; 3084
Sc5-11; 34; 1360047.00; 1233531.78; 11640; 0; 22648; 11; 1803.91; 3120
Sc5-11; 35; 1360047.00; 1233531.78; 11640; 0; 17455; 111; 1093.13; 3156
Sc5-11; 36; 1360047.00; 1233531.78; 11640; 0; 27426; 11; 1803.93; 3192
Sc5-11; 37; 1360047.00; 1233531.78; 11640; 0; 22338; 111; 1282.32; 3228
Sc5-11; 38; 1360047.00; 1233531.78; 11640; 0; 14009; 111; 697.05; 3264
Sc5-11; 39; 1360047.00; 1233531.78; 11640; 0; 42420; 11; 1803.91; 3300
