Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc1-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-2; 1; 1; 515201.00; -1; 0; 1; 3288; 492; 492; 515201.00; 515201.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 515201.00; 0.08; -1; 300; -1
Sc1-3; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 348407.82; 0.05; 1; 1; 1; -1; -1; 2.00; 0; 1; 377075.00; 0.08; -1; 216; -1
Sc1-4; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 0.03; 1; 1; 1; -1; -1; 2.00; 0; 1; 235565.00; 0.05; -1; 204; -1
Sc1-5; 1; 1; 149514.00; -1; 0; 1; 3288; 492; 492; 149514.00; 149514.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 149514.00; 0.05; -1; 252; -1
Sc1-6; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 142; 320438.00; 318857.76; 0.05; 1; 1; 1; -1; -1; 2.00; 0; 1; 320438.00; 0.08; -1; 372; -1
Sc1-7; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 72; 367405.00; 362138.69; 0.05; 1; 1; 1; -1; -1; 2.00; 0; 1; 367405.00; 0.11; -1; 324; -1
Sc1-8; 1; 1; 195980.00; -1; 0; 0; 3288; 444; 30; 195980.00; 189371.52; 0.03; 1; 1; 1; -1; -1; 2.00; 0; 1; 195980.00; 0.09; -1; 312; -1
Sc1-9; 1; 1; 164420.00; -1; 0; 0; 3288; 444; 37; 164420.00; 159086.27; 0.06; 1; 1; 1; -1; -1; 2.00; 0; 1; 164420.00; 0.09; -1; 240; -1
Sc1-10; 1; 1; 195094.00; -1; 0; 1; 3288; 468; 468; 195094.00; 195094.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 195094.00; 0.05; -1; 324; -1
Sc1-11; 1; 1; 279463.00; -1; 0; 0; 3288; 468; 0; 279463.00; 231771.95; 0.03; 1; 1; 1; -1; -1; 2.00; 0; 1; 279463.00; 0.05; -1; 252; -1
Sc1-12; 1; 1; 465172.00; -1; 0; 1; 3288; 456; 456; 465172.00; 465172.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 465172.00; 0.03; -1; 180; -1
Sc1-13; 1; 1; 272844.00; -1; 0; 0; 3288; 456; 40; 272844.00; 267704.69; 0.06; 1; 1; 1; -1; -1; 2.00; 0; 1; 272844.00; 0.09; -1; 288; -1
Sc1-14; 1; 1; 306268.00; -1; 0; 1; 3288; 492; 492; 306268.00; 306268.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 306268.00; 0.05; -1; 372; -1
Sc1-15; 1; 1; 247693.00; -1; 0; 1; 3288; 432; 432; 247693.00; 247693.00; 0.03; 0; 1; 1; -1; -1; -1.00; -1; 0; 247693.00; 0.03; -1; 276; -1
Sc1-16; 1; 1; 288443.00; -1; 0; 1; 3288; 468; 468; 288443.00; 288443.00; 0.05; 0; 1; 1; -1; -1; -1.00; -1; 0; 288443.00; 0.05; -1; 300; -1
Sc1-17; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-18; 1; 1; 445751.00; -1; 0; 0; 3288; 504; 0; 445751.00; 407004.12; 0.03; 1; 1; 1; -1; -1; 2.00; 0; 1; 445751.00; 0.08; -1; 276; -1
Sc1-19; 1; 1; 252595.00; -1; 0; 0; 3288; 480; 18; 252595.00; 239895.57; 0.03; 1; 1; 1; -1; -1; 2.00; 0; 1; 252595.00; 0.08; -1; 264; -1
Sc1-20; 1; 1; 202776.00; -1; 1; 0; 3288; 456; 0; 202776.00; 202776.00; 0.00; 0; 1; 1; -1; -1; -1.00; -1; 0; 202776.00; 0.01; -1; 360; -1
Sc2-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-5; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-6; 1; 1; 340442.00; -1; 0; 0; 13500; 1872; 854; 340442.00; 340302.00; 0.20; 1; 1; 1; -1; -1; 2.83; 0; 102; 340442.00; 0.33; -1; 768; -1
Sc2-7; 1; 1; 515906.00; -1; 0; 0; 13500; 1656; 0; 515934.00; 454139.57; 0.14; 1; 1; 1; -1; -1; 2.83; 0; 102; 515906.00; 0.55; -1; 768; -1
Sc2-8; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-9; 1; 1; 218447.00; -1; 0; 0; 13500; 1548; 61; 218447.00; 214661.00; 0.27; 1; 1; 1; -1; -1; 2.92; 0; 1; 218447.00; 0.61; -1; 552; -1
Sc2-10; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-11; 1; 1; 371170.00; -1; 0; 0; 13500; 1512; 0; 371170.00; 344717.14; 0.09; 1; 1; 1; -1; -1; 2.83; 0; 1; 371170.00; 0.23; -1; 456; -1
Sc2-12; 1; 1; 336176.00; -1; 0; 0; 13500; 1728; 10; 336176.00; 314277.47; 0.20; 1; 1; 1; -1; -1; 2.83; 23; 1; 336176.00; 0.67; -1; 588; -1
Sc2-13; 1; 1; 196254.00; -1; 0; 0; 13500; 1656; 850; 196254.00; 196086.00; 0.13; 1; 1; 1; -1; -1; 3.00; 0; 1; 196254.00; 0.28; -1; 768; -1
Sc2-14; 1; 1; 299215.00; -1; 0; 0; 13500; 1548; 13; 299215.00; 283996.55; 0.20; 1; 1; 1; -1; -1; 2.83; 126; 1; 299215.00; 0.90; -1; 696; -1
Sc2-15; 1; 1; 448360.00; -1; 0; 0; 13500; 1656; 0; 448360.00; 419353.93; 0.17; 1; 1; 1; -1; -1; 2.83; 0; 1; 448360.00; 0.31; -1; 432; -1
Sc2-16; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-17; 1; 1; 765950.00; -1; 0; 0; 13500; 1476; 0; 765950.00; 719665.20; 0.13; 1; 1; 1; -1; -1; 2.83; 0; 1; 765950.00; 0.27; -1; 348; -1
Sc2-18; 1; 1; 480257.00; -1; 0; 0; 13500; 1656; 80; 483841.00; 457288.33; 0.13; 1; 1; 1; -1; -1; 2.75; 0; 102; 480257.00; 0.27; -1; 504; -1
Sc2-19; 1; 1; 211334.00; -1; 0; 0; 13500; 1440; 960; 211334.00; 211250.00; 0.09; 1; 1; 1; -1; -1; 2.50; 0; 102; 211334.00; 0.22; -1; 696; -1
Sc2-20; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc3-1; 1; 1; 697406.00; -1; 0; 0; 43968; 4296; 0; 697406.00; 669248.66; 0.47; 1; 1; 1; -1; -1; 3.92; 0; 1; 697406.00; 1.79; -1; 1003; -1
Sc3-2; 1; 1; 1046434.00; -1; 0; 0; 43968; 4368; 0; 1061265.00; 1015583.69; 0.67; 1; 1; 1; -1; -1; 3.75; 0; 102; 1046434.00; 1.67; -1; 1001; -1
Sc3-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc3-4; 1; 1; 681550.00; -1; 0; 0; 43968; 4872; 0; 685407.00; 651590.14; 0.33; 1; 1; 1; -1; -1; 3.67; 13; 102; 681550.00; 1.93; -1; 1007; -1
Sc3-5; 1; 1; 642969.00; -1; 0; 0; 43968; 4584; 0; 649468.00; 625005.41; 0.31; 1; 1; 1; -1; -1; 3.00; 0; 1; 642969.00; 1.04; -1; 1006; -1
Sc3-6; 1; 1; 649678.00; -1; 0; 0; 43968; 4224; 18; 650804.00; 632475.68; 0.44; 1; 1; 1; -1; -1; 3.75; 16; 102; 649678.00; 1.83; -1; 1001; -1
