Sc(N/M); 1-cutSeuil; UB; LB; statusCode; nbVar; nbFixed; nbNode; tempsTotal; nbConCut2
Sc4-1; 200; 784991.00; 725206.20; 1; 9300; 0; 4210; 84.28; 207
Sc4-1; 400; 784991.00; 725206.20; 102; 9300; 0; 5916; 87.23; 405
Sc4-1; 600; 784991.00; 725206.20; 102; 9300; 0; 6476; 100.39; 606
Sc4-1; 800; 784991.00; 725206.20; 102; 9300; 0; 7679; 111.34; 802
Sc4-1; 1000; 784991.00; 725206.27; 102; 9300; 0; 4608; 91.85; 1008
Sc4-1; 1200; 784991.00; 725235.75; 1; 9300; 0; 5040; 96.00; 1232
Sc4-1; 1400; 784991.00; 725235.75; 102; 9300; 0; 6171; 97.45; 1424
Sc4-1; 1600; 784991.00; 725235.75; 102; 9300; 0; 4503; 95.86; 1616
Sc4-1; 1800; 784991.00; 725235.75; 102; 9300; 0; 6496; 123.80; 1808
Sc4-1; 2000; 784991.00; 725235.75; 102; 9300; 0; 7381; 149.31; 2009
Sc4-1; 2200; 784991.00; 725235.75; 102; 9300; 0; 8214; 83.82; 2214
Sc4-1; 2400; 784991.00; 725235.75; 102; 9300; 0; 7122; 141.16; 2419
Sc4-1; 2600; 784991.00; 725235.75; 1; 9300; 0; 5536; 94.69; 2460
Sc4-2; 200; 862141.00; 780119.40; 102; 9540; 0; 53273; 827.49; 202
Sc4-2; 400; 862141.00; 780119.40; 102; 9540; 0; 55839; 715.37; 402
Sc4-2; 600; 862141.00; 780119.40; 102; 9540; 0; 31707; 494.13; 606
Sc4-2; 800; 862141.00; 780119.40; 102; 9540; 0; 49226; 672.06; 807
Sc4-2; 1000; 862141.00; 780137.97; 102; 9540; 0; 42974; 713.28; 1014
Sc4-2; 1200; 862141.00; 780151.63; 102; 9540; 0; 54500; 730.92; 1212
Sc4-2; 1400; 862141.00; 780151.63; 102; 9540; 0; 57585; 885.66; 1429
Sc4-2; 1600; 862141.00; 780151.63; 102; 9540; 0; 55218; 826.38; 1603
Sc4-2; 1800; 862141.00; 780151.63; 102; 9540; 0; 36584; 491.92; 1806
Sc4-2; 2000; 862141.00; 780151.63; 102; 9540; 0; 25672; 395.69; 2018
Sc4-2; 2200; 862141.00; 780151.63; 102; 9540; 0; 72289; 1371.99; 2208
Sc4-2; 2400; 862141.00; 780151.63; 102; 9540; 0; 36319; 618.60; 2436
Sc4-2; 2600; 862141.00; 780151.63; 102; 9540; 0; 36319; 618.45; 2436
Sc4-3; 200; 980050.00; 858188.73; 102; 8820; 0; 8239; 119.08; 204
Sc4-3; 400; 980050.00; 858188.73; 102; 8820; 0; 7565; 106.41; 408
Sc4-3; 600; 980050.00; 871654.39; 102; 8820; 0; 7754; 103.46; 604
Sc4-3; 800; 980050.00; 875331.80; 102; 8820; 0; 9602; 109.32; 811
Sc4-3; 1000; 980050.00; 875335.68; 102; 8820; 0; 11720; 136.41; 1011
Sc4-3; 1200; 980050.00; 875335.68; 102; 8820; 0; 11910; 136.72; 1206
Sc4-3; 1400; 980050.00; 875403.13; 102; 8820; 0; 6196; 97.84; 1420
Sc4-3; 1600; 980050.00; 875409.08; 102; 8820; 0; 7274; 99.78; 1604
Sc4-3; 1800; 980050.00; 875411.95; 102; 8820; 0; 9885; 119.82; 1820
Sc4-3; 2000; 980050.00; 875411.95; 102; 8820; 0; 8804; 147.70; 2012
Sc4-3; 2200; 980050.00; 875411.95; 102; 8820; 0; 8768; 112.88; 2172
Sc4-10; 200; 594336.00; 558910.49; 102; 9300; 0; 3570; 108.93; 204
Sc4-10; 400; 594336.00; 558910.49; 102; 9300; 0; 2064; 81.65; 408
Sc4-10; 600; 594336.00; 566689.50; 102; 9300; 0; 5759; 113.91; 604
Sc4-10; 800; 594336.00; 566985.26; 102; 9300; 0; 2960; 78.17; 812
Sc4-10; 1000; 594336.00; 566985.26; 102; 9300; 0; 3575; 38.38; 1004
Sc4-10; 1200; 594336.00; 566985.26; 102; 9300; 0; 2993; 76.02; 1220
Sc4-10; 1400; 594336.00; 566985.26; 102; 9300; 0; 6354; 69.47; 1416
Sc4-10; 1600; 594336.00; 566985.26; 102; 9300; 0; 2373; 86.44; 1612
Sc4-10; 1800; 594336.00; 566985.26; 102; 9300; 0; 2182; 74.07; 1808
Sc4-10; 2000; 594336.00; 566985.26; 102; 9300; 0; 4916; 105.27; 2031
Sc4-10; 2200; 594336.00; 566985.26; 102; 9300; 0; 3354; 102.62; 2226
Sc4-10; 2400; 594336.00; 566985.26; 102; 9300; 0; 2506; 107.25; 2304
Sc4-17; 200; 1003591.00; 875317.36; 102; 9420; 0; 4643; 177.95; 204
Sc4-17; 400; 1003591.00; 875317.36; 102; 9420; 0; 3979; 136.13; 408
Sc4-17; 600; 1003591.00; 875317.36; 102; 9420; 0; 2164; 111.52; 606
Sc4-17; 800; 1003591.00; 884863.42; 102; 9420; 0; 3137; 143.04; 804
Sc4-17; 1000; 1003591.00; 884879.16; 102; 9420; 0; 4638; 151.68; 1005
Sc4-17; 1200; 1003591.00; 884879.16; 102; 9420; 0; 5123; 136.44; 1215
Sc4-17; 1400; 1003591.00; 884880.15; 102; 9420; 0; 3657; 149.53; 1404
Sc4-17; 1600; 1003591.00; 884892.58; 102; 9420; 0; 4601; 170.82; 1612
Sc4-17; 1800; 1003591.00; 884892.58; 102; 9420; 0; 4967; 179.31; 1829
