Sc(N/M); 1-cutSeuil; UB; LB; statusCode; nbVar; nbFixed; nbNode; tempsTotal; nbConCut2
Sc4-7; 200; 686324.00; 672706.43; 102; 8100; 120; 117; 4.96; 207
Sc4-7; 400; 686324.00; 672706.43; 102; 8100; 120; 110; 4.69; 405
Sc4-7; 600; 686324.00; 672706.43; 102; 8100; 120; 54; 5.23; 606
Sc4-7; 800; 686324.00; 672928.52; 102; 8100; 120; 38; 5.83; 803
Sc4-7; 1000; 686324.00; 672928.52; 102; 8100; 120; 51; 4.82; 1012
Sc4-7; 1200; 686324.00; 673060.77; 102; 8100; 120; 110; 4.75; 1230
Sc4-7; 1400; 686324.00; 673060.77; 102; 8100; 120; 45; 5.41; 1428
Sc4-7; 1600; 686324.00; 673060.77; 102; 8100; 120; 67; 5.34; 1626
Sc4-7; 1800; 686324.00; 673060.77; 102; 8100; 120; 47; 6.58; 1824
Sc4-7; 2000; 686324.00; 673060.77; 102; 8100; 120; 40; 4.73; 2034
Sc4-7; 2200; 686324.00; 673060.77; 102; 8100; 120; 40; 5.19; 2229
Sc4-7; 2400; 686324.00; 673060.77; 102; 8100; 120; 42; 5.11; 2424
Sc4-7; 2600; 686324.00; 673060.77; 102; 8100; 120; 57; 5.75; 2604
Sc4-7; 2800; 686324.00; 673060.77; 102; 8100; 120; 57; 5.80; 2640
Sc4-14; 200; 779714.00; 721324.29; 1; 8940; 0; 326; 5.94; 204
Sc4-14; 400; 779714.00; 722399.28; 1; 8940; 0; 285; 7.86; 408
Sc4-14; 600; 779714.00; 722421.61; 1; 8940; 0; 183; 6.93; 612
Sc4-14; 800; 779714.00; 722421.61; 102; 8940; 0; 275; 6.61; 817
Sc4-14; 1000; 779714.00; 722915.80; 1; 8940; 0; 140; 8.65; 1017
Sc4-14; 1200; 779714.00; 723250.93; 102; 8940; 0; 599; 5.68; 1217
Sc4-14; 1400; 779714.00; 723250.93; 102; 8940; 0; 280; 8.57; 1430
Sc4-14; 1600; 779714.00; 723250.93; 1; 8940; 0; 282; 8.42; 1620
Sc4-14; 1800; 779714.00; 723250.93; 1; 8940; 0; 288; 8.69; 1810
Sc4-14; 2000; 779714.00; 723250.93; 1; 8940; 0; 288; 8.64; 2002
Sc4-14; 2200; 779714.00; 723250.93; 1; 8940; 0; 288; 8.76; 2124
Sc4-18; 200; 721179.00; 698418.44; 102; 8220; 0; 1349; 12.39; 207
Sc4-18; 400; 721179.00; 698418.44; 102; 8220; 0; 2289; 14.14; 405
Sc4-18; 600; 721179.00; 698418.44; 102; 8220; 0; 2173; 11.66; 612
Sc4-18; 800; 721179.00; 698418.44; 102; 8220; 0; 1681; 12.21; 804
Sc4-18; 1000; 721179.00; 698418.44; 102; 8220; 0; 1346; 12.11; 1014
Sc4-18; 1200; 721179.00; 698418.44; 102; 8220; 0; 1188; 13.76; 1203
Sc4-18; 1400; 721179.00; 698418.44; 102; 8220; 0; 1876; 14.68; 1404
Sc4-18; 1600; 721179.00; 698418.44; 102; 8220; 0; 1035; 12.51; 1620
Sc4-18; 1800; 721179.00; 698418.44; 102; 8220; 0; 1079; 11.73; 1836
Sc4-18; 2000; 721179.00; 698418.44; 102; 8220; 0; 1463; 15.09; 2016
Sc4-18; 2200; 721179.00; 698418.44; 102; 8220; 0; 2722; 17.94; 2217
Sc4-18; 2400; 721179.00; 698418.44; 102; 8220; 0; 2950; 17.32; 2432
Sc4-18; 2600; 721179.00; 698418.44; 102; 8220; 0; 3501; 17.04; 2604
Sc4-18; 2800; 721179.00; 698418.44; 102; 8220; 0; 1886; 18.75; 2808
Sc4-18; 3000; 721179.00; 698418.44; 102; 8220; 0; 1886; 18.76; 2892
Sc5-11; 200; 1360047.00; 1231688.09; 11; 11640; 0; 26433; 1788.17; 207
Sc5-11; 400; 1360047.00; 1231688.09; 111; 11640; 0; 24741; 1607.10; 406
Sc5-11; 600; 1360047.00; 1231688.09; 111; 11640; 0; 14029; 591.14; 602
Sc5-11; 800; 1360047.00; 1231688.09; 111; 11640; 0; 13366; 674.84; 810
Sc5-11; 1000; 1360047.00; 1231755.55; 11; 11640; 0; 23168; 1801.90; 1018
Sc5-11; 1200; 1360047.00; 1231755.55; 11; 11640; 0; 57059; 1802.00; 1226
Sc5-11; 1400; 1360047.00; 1231755.55; 111; 11640; 0; 32021; 1625.46; 1408
Sc5-11; 1600; 1360047.00; 1232105.22; 111; 11640; 0; 34181; 1556.82; 1632
Sc5-11; 1800; 1360047.00; 1232157.71; 111; 11640; 0; 20356; 1139.53; 1832
Sc5-11; 2000; 1360047.00; 1233531.78; 111; 11640; 0; 19186; 1004.30; 2045
Sc5-11; 2200; 1360047.00; 1233531.78; 11; 11640; 0; 16297; 1803.07; 2204
Sc5-11; 2400; 1360047.00; 1233531.78; 111; 11640; 0; 16445; 964.59; 2416
Sc5-11; 2600; 1360047.00; 1233531.78; 111; 11640; 0; 19608; 963.33; 2628
