Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc0-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-1; 1; 1; 515201.00; -1; 0; 0; 3288; 492; 255; 515201.00; 514416.64; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.06; -1; -1; -1
Sc0-2; 1; 1; 377075.00; -1; 0; 0; 3288; 516; 0; 377075.00; 321882.22; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.01; -1; -1; -1
Sc0-3; 1; 1; 235565.00; -1; 0; 0; 3288; 444; 73; 235565.00; 233094.52; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-4; 1; 1; 149514.00; -1; 0; 0; 3288; 492; 0; 150480.00; 144433.76; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-5; 1; 1; 320438.00; -1; 0; 0; 3288; 444; 0; 320438.00; 300746.84; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-6; 1; 1; 367405.00; -1; 0; 0; 3288; 504; 0; 367405.00; 343660.01; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-7; 1; 1; 195980.00; -1; 0; 0; 3288; 444; 30; 195980.00; 188039.69; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-8; 1; 1; 164420.00; -1; 0; 0; 3288; 444; 25; 164420.00; 155145.81; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-9; 1; 1; 195094.00; -1; 0; 0; 3288; 468; 115; 195094.00; 192990.59; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-10; 1; 1; 279463.00; -1; 0; 0; 3288; 468; 0; 279463.00; 231771.95; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-11; 1; 1; 465172.00; -1; 0; 0; 3288; 456; 88; 465172.00; 457865.39; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-12; 1; 1; 272844.00; -1; 0; 0; 3288; 456; 0; 272844.00; 253665.91; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-13; 1; 1; 306268.00; -1; 0; 0; 3288; 492; 54; 306268.00; 303842.80; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-14; 1; 1; 247693.00; -1; 0; 0; 3288; 432; 15; 247693.00; 239695.59; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-15; 1; 1; 288443.00; -1; 0; 0; 3288; 468; 111; 288443.00; 286262.64; 0.03; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.05; -1; -1; -1
Sc0-16; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc0-17; 1; 1; 445751.00; -1; 0; 0; 3288; 504; 0; 445751.00; 406247.55; 0.02; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-18; 1; 1; 252595.00; -1; 0; 0; 3288; 480; 18; 252595.00; 239895.57; 0.01; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.03; -1; -1; -1
Sc0-19; 1; 1; 202776.00; -1; 1; 0; 3288; 456; 0; 202776.00; 202776.00; 0.01; 0; 1; 1; -1; -1; -1.00; -1; 0; 202776.00; 0.01; -1; -1; -1
Sc1-0; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-5; 1; 1; 340442.00; -1; 0; 0; 13500; 1872; 562; 340442.00; 339840.05; 0.13; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.16; -1; -1; -1
Sc1-6; 1; 1; 515906.00; -1; 0; 0; 13500; 1656; 0; 515934.00; 440836.14; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.11; -1; -1; -1
Sc1-7; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-8; 1; 1; 218447.00; -1; 0; 0; 13500; 1548; 0; 218447.00; 204085.47; 0.09; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.14; -1; -1; -1
Sc1-9; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-10; 1; 1; 371170.00; -1; 0; 0; 13500; 1512; 0; 371170.00; 344717.14; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.09; -1; -1; -1
Sc1-11; 1; 1; 336176.00; -1; 0; 0; 13500; 1728; 0; 336176.00; 292907.12; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.09; -1; -1; -1
Sc1-12; 1; 1; 196254.00; -1; 0; 0; 13500; 1656; 850; 196254.00; 196086.00; 0.09; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.14; -1; -1; -1
Sc1-13; 1; 1; 299215.00; -1; 0; 0; 13500; 1548; 0; 299215.00; 247967.34; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.11; -1; -1; -1
Sc1-14; 1; 1; 448360.00; -1; 0; 0; 13500; 1656; 0; 448360.00; 404030.00; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.11; -1; -1; -1
Sc1-15; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc1-16; 1; 1; 765950.00; -1; 0; 0; 13500; 1476; 0; 765950.00; 719130.87; 0.06; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.09; -1; -1; -1
Sc1-17; 1; 1; 480257.00; -1; 0; 0; 13500; 1656; 80; 480968.00; 457288.33; 0.08; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.11; -1; -1; -1
Sc1-18; 1; 1; 211334.00; -1; 0; 0; 13500; 1440; 960; 211334.00; 211250.00; 0.08; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.12; -1; -1; -1
Sc1-19; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-0; 1; 1; 697406.00; -1; 0; 0; 43968; 4296; 0; 697406.00; 669248.66; 0.30; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.41; -1; -1; -1
Sc2-1; 1; 1; 1046434.00; -1; 0; 0; 43968; 4368; 0; 1061265.00; 1013478.06; 0.23; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.36; -1; -1; -1
Sc2-2; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc2-3; 1; 1; 681550.00; -1; 0; 0; 43968; 4872; 0; 685407.00; 651590.14; 0.22; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.34; -1; -1; -1
Sc2-4; 1; 1; 642969.00; -1; 0; 0; 43968; 4584; 0; 649468.00; 625005.41; 0.19; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.31; -1; -1; -1
Sc2-5; 1; 1; 649678.00; -1; 0; 0; 43968; 4224; 18; 650804.00; 632475.68; 0.33; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.44; -1; -1; -1
Sc2-6; 1; 1; 685571.00; -1; 0; 0; 43968; 4152; 0; 697925.00; 652988.44; 0.20; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.33; -1; -1; -1
Sc2-7; 1; 1; 691744.00; -1; 0; 0; 43968; 4800; 0; 693681.00; 621759.79; 0.23; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.34; -1; -1; -1
Sc2-8; 1; 1; 478191.00; -1; 0; 0; 43968; 3936; 30; 478191.00; 457718.73; 0.28; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.39; -1; -1; -1
Sc2-9; 1; 1; 578628.00; -1; 0; 0; 43968; 4152; 6; 578628.00; 562194.14; 0.27; 0; -1; -1; -1; -1; -1.00; -1; 0; -1.00; 0.37; -1; -1; -1
