Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbX; nbXFixed; nbNode; tempsTotal; nbConCut2
Sc1-1; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.16; 300
Sc1-17; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.05; 264
Sc2-1; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 552
Sc2-2; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.12; 600
Sc2-3; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 528
Sc2-4; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 636
Sc2-5; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.14; 888
Sc2-8; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 624
Sc2-10; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 540
Sc2-16; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.11; 600
Sc2-20; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.10; 600
Sc3-3; 0; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 0.44; 1524
Sc5-15; 1200; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 1.34; 1208
Sc5-19; 1200; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 1.65; 1222
Sc5-20; 1200; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 3.08; 1216
Sc6-1; 2600; 9999999.00; -1.00; -1.00; -1; -1; 0; -1.00; 3; -1; -1; -1; -1; -1; 3.08; 1216
