Sc(N/M); 1-cutSeuil; sol_nopre; UB; LB; isOptNoPre; isAllFixed; isMipExecuted; sol_pre; statusCode; nbVar; nbFixed; nbNode; tempsTotal; nbConCut2
Sc1-2; 0; 515201.00; 515201.00; 515201.00; 0; 1; 0; 515201.00; 0; 492; 492; -1; 0.58; 300
Sc1-3; 0; 377075.00; 377075.00; 348407.82; 0; 0; 1; 377075.00; 1; 516; 0; 0; 0.64; 216
Sc1-4; 0; 235565.00; 235565.00; 233094.52; 0; 0; 1; 235565.00; 1; 444; 73; 0; 0.52; 204
Sc1-5; 0; 149514.00; 149514.00; 149514.00; 0; 1; 0; 149514.00; 0; 492; 492; -1; 0.44; 252
Sc1-6; 0; 320438.00; 320438.00; 318857.76; 0; 0; 1; 320438.00; 1; 444; 142; 0; 0.71; 372
Sc1-7; 0; 367405.00; 367405.00; 362138.69; 0; 0; 1; 367405.00; 1; 504; 72; 0; 0.74; 324
Sc1-8; 0; 195980.00; 195980.00; 189371.52; 0; 0; 1; 195980.00; 1; 444; 30; 0; 0.89; 312
Sc1-9; 0; 164420.00; 164420.00; 159086.27; 0; 0; 1; 164420.00; 1; 444; 38; 0; 0.81; 240
Sc1-10; 0; 195094.00; 195094.00; 195094.00; 0; 1; 0; 195094.00; 0; 468; 468; -1; 25.90; 324
Sc1-11; 0; 279463.00; 279463.00; 231771.95; 0; 0; 1; 279463.00; 1; 468; 0; 0; 0.61; 252
Sc1-12; 0; 465172.00; 279463.00; 231771.95; 0; 0; 1; 279463.00; 1; 468; 0; 0; 0.61; 252
