Scenario isInFeas isInstSolved MemLim TimLim #Nodes Time NbMachUsed

Sc1 0 0 0 0.000000 -1.000000 9999999
Sc1 0 * * 0.000000 2.000000 224530
Sc1 1 1 0 0.000000 2.000000 515201
Sc1 1 * * 0.000000 1.583333 614993
Sc1 1 1 0 1.000000 2.000000 383751
Sc1 0 * * 0.000000 2.000000 362062
Sc1 1 1 0 0.000000 2.000000 235565
Sc1 1 * * 0.000000 1.750000 252657
Sc1 1 1 0 0.000000 2.000000 149514
Sc1 1 * * 0.000000 1.833333 157242
Sc1 1 1 0 1.000000 2.000000 320438
Sc1 1 * * 0.000000 0.916667 555296
Sc1 1 1 0 0.000000 2.000000 367971
Sc1 1 * * 1.000000 1.416667 453997
Sc1 1 1 0 0.000000 2.000000 197126
Sc1 1 * * 0.000000 1.333333 315497
Sc1 1 1 0 1.000000 1.916667 166736
Sc1 1 * * 0.000000 1.000000 586137
Sc1 1 1 0 1.000000 2.000000 195094
Sc1 1 * * 0.000000 2.000000 208479
Sc1 1 1 0 0.000000 2.000000 279463
Sc1 1 * * 1.000000 2.000000 279463
Sc1 1 1 0 0.000000 1.000000 465172
Sc1 1 * * 0.000000 1.000000 548071
Sc1 1 1 0 1.000000 2.000000 272844
Sc1 0 * * 0.000000 1.916667 260424
Sc1 1 1 0 0.000000 2.000000 306268
Sc1 1 * * 1.000000 1.750000 308270
Sc1 1 1 0 0.000000 2.000000 247692
Sc1 1 * * 0.000000 1.583333 272276
Sc1 1 1 0 0.000000 1.916667 288443
Sc1 1 * * 1.000000 1.750000 288443
Sc1 0 0 0 0.000000 -1.000000 9999999
Sc1 0 * * 0.000000 2.000000 252615
Sc1 1 1 0 0.000000 2.000000 445751
Sc1 1 * * 1.000000 1.000000 722691
Sc1 1 1 0 0.000000 2.000000 252595
Sc1 1 * * 0.000000 0.833333 368503
Sc1 1 1 0 1.000000 2.000000 202776
Sc1 1 * * 0.000000 1.583333 289023
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 1.000000 3.000000 279430
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.250000 426396
Sc2 0 0 0 1.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.500000 405869
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 1.000000 2.000000 439234
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.000000 375097
Sc2 1 1 0 1.000000 2.833333 340442
Sc2 1 * * 0.000000 2.500000 343442
Sc2 1 1 0 1.000000 2.833333 515906
Sc2 1 * * 0.000000 1.666667 622759
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 1.000000 1.916667 321160
Sc2 1 1 0 0.000000 2.916667 218447
Sc2 1 * * 1.000000 2.333333 256792
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.500000 581273
Sc2 1 1 0 0.000000 2.833333 371170
Sc2 1 * * 0.000000 2.000000 583952
Sc2 1 1 11 2.000000 2.833333 336176
Sc2 1 * * 0.000000 2.666667 364802
Sc2 1 1 0 1.000000 3.000000 196254
Sc2 1 * * 0.000000 1.833333 433355
Sc2 1 1 0 2.000000 2.833333 299215
Sc2 1 * * 0.000000 2.000000 407186
Sc2 1 1 0 1.000000 2.666667 449494
Sc2 1 * * 0.000000 2.000000 536123
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 1.000000 1.833333 466242
Sc2 1 1 0 0.000000 2.833333 765950
Sc2 1 * * 1.000000 1.916667 855377
Sc2 1 1 0 0.000000 2.750000 480257
Sc2 1 * * 1.000000 2.000000 506682
Sc2 1 1 0 0.000000 2.500000 211334
Sc2 1 * * 1.000000 2.000000 265622
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 2.000000 459602
Sc3 1 1 3 3.000000 3.916667 697406
Sc3 1 * * 0.000000 4.000000 792272
Sc3 1 1 1 3.000000 3.750000 1046434
Sc3 0 * * 0.000000 3.000000 1110928
Sc3 0 0 0 1.000000 -1.000000 9999999
Sc3 0 * * 1.000000 3.000000 798033
Sc3 1 1 20 2.000000 3.666667 681549
Sc3 0 * * 1.000000 2.416667 770393
Sc3 1 1 0 2.000000 3.000000 642969
