Scenario isInFeas isInstSolved MemLim TimLim #Nodes Time NbMachUsed

Sc1 0 0 0 0.031200 -1.000000 9999999
Sc1 0 * * 0.031200 -1.000000 9999999
Sc1 1 1 0 0.078001 2.000000 515201
Sc1 1 * * 0.078001 2.000000 515201
Sc1 1 1 0 0.031200 2.000000 383751
Sc1 1 * * 0.031200 2.000000 383751
Sc1 1 1 0 0.031200 2.000000 235565
Sc1 1 * * 0.031200 2.000000 235565
Sc1 1 1 0 0.046800 2.000000 149514
Sc1 1 * * 0.046800 2.000000 149514
Sc1 1 1 0 0.093601 2.000000 320438
Sc1 1 * * 0.093601 2.000000 320438
Sc1 1 1 0 0.046800 2.000000 367971
Sc1 1 * * 0.046800 2.000000 367971
Sc1 1 1 0 0.062400 2.000000 197126
Sc1 1 * * 0.062400 2.000000 197126
Sc1 1 1 0 0.124801 1.916667 166736
Sc1 1 * * 0.124801 1.916667 166736
Sc1 1 1 0 0.062400 2.000000 195094
Sc1 1 * * 0.062400 2.000000 195094
Sc1 1 1 0 0.046800 2.000000 279463
Sc1 1 * * 0.046800 2.000000 279463
Sc1 1 1 0 0.031200 1.000000 465172
Sc1 1 * * 0.031200 1.000000 465172
Sc1 1 1 0 0.140401 2.000000 272844
Sc1 1 * * 0.140401 2.000000 272844
Sc1 1 1 0 0.015600 2.000000 306268
Sc1 1 * * 0.015600 2.000000 306268
Sc1 1 1 0 0.093601 2.000000 247692
Sc1 1 * * 0.093601 2.000000 247692
Sc1 1 1 0 0.093601 1.916667 288443
Sc1 1 * * 0.093601 1.916667 288443
Sc1 0 0 0 0.015600 -1.000000 9999999
Sc1 0 * * 0.015600 -1.000000 9999999
Sc1 1 1 0 0.078001 2.000000 445751
Sc1 1 * * 0.078001 2.000000 445751
Sc1 1 1 0 0.046800 2.000000 252595
Sc1 1 * * 0.046800 2.000000 252595
Sc1 1 1 0 0.031200 2.000000 202776
Sc1 1 * * 0.031200 2.000000 202776
Sc2 0 0 0 0.046800 -1.000000 9999999
Sc2 0 * * 0.046800 -1.000000 9999999
Sc2 0 0 0 0.046800 -1.000000 9999999
Sc2 0 * * 0.046800 -1.000000 9999999
Sc2 0 0 0 0.078001 -1.000000 9999999
Sc2 0 * * 0.078001 -1.000000 9999999
Sc2 0 0 0 0.078001 -1.000000 9999999
Sc2 0 * * 0.078001 -1.000000 9999999
Sc2 0 0 0 0.078001 -1.000000 9999999
Sc2 0 * * 0.078001 -1.000000 9999999
Sc2 1 1 0 0.249602 2.833333 340442
Sc2 1 * * 0.249602 2.833333 340442
