Scenario isInFeas isInstSolved MemLim TimLim #Nodes Time NbMachUsed

Sc1 0 0 0 1.000000 -1.000000 9999999
Sc1 0 * * 0.000000 -1.000000 9999999
Sc1 1 1 0 0.000000 2.000000 515201
Sc1 1 * * 0.000000 2.000000 515201
Sc1 1 1 0 0.000000 2.000000 383751
Sc1 1 * * 0.000000 2.000000 383751
Sc1 1 1 0 0.000000 2.000000 235565
Sc1 1 * * 0.000000 2.000000 235565
Sc1 1 1 0 0.000000 2.000000 149514
Sc1 1 * * 0.000000 2.000000 149514
Sc1 1 1 0 1.000000 2.000000 320438
Sc1 1 * * 0.000000 2.000000 320438
Sc1 1 1 0 0.000000 2.000000 367971
Sc1 1 * * 0.000000 2.000000 367971
Sc1 1 1 0 0.000000 2.000000 197126
Sc1 1 * * 0.000000 2.000000 197126
Sc1 1 1 0 0.000000 1.000000 166736
Sc1 1 * * 0.000000 2.000000 166750
Sc1 1 1 0 0.000000 2.000000 195094
Sc1 1 * * 1.000000 2.000000 195094
Sc1 1 1 0 0.000000 2.000000 279463
Sc1 1 * * 0.000000 2.000000 279463
Sc1 1 1 0 0.000000 1.000000 465172
Sc1 1 * * 0.000000 1.000000 465172
Sc1 1 1 0 0.000000 2.000000 272844
Sc1 1 * * 0.000000 2.000000 272844
Sc1 1 1 0 1.000000 2.000000 306268
Sc1 1 * * 0.000000 2.000000 306268
Sc1 1 1 0 0.000000 2.000000 247693
Sc1 1 * * 0.000000 2.000000 247693
Sc1 1 1 0 0.000000 1.000000 288443
Sc1 1 * * 0.000000 1.000000 288443
Sc1 0 0 0 0.000000 -1.000000 9999999
Sc1 0 * * 0.000000 -1.000000 9999999
Sc1 1 1 0 1.000000 2.000000 445751
Sc1 1 * * 0.000000 2.000000 445751
Sc1 1 1 0 0.000000 2.000000 252595
Sc1 1 * * 0.000000 2.000000 252595
Sc1 1 1 0 0.000000 2.000000 202776
Sc1 1 * * 0.000000 2.000000 202776
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 1.000000 -1.000000 9999999
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 -1.000000 9999999
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 -1.000000 9999999
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 -1.000000 9999999
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 -1.000000 9999999
Sc2 1 1 0 1.000000 2.000000 340442
Sc2 1 * * 0.000000 2.000000 340442
Sc2 1 1 0 1.000000 2.000000 515906
Sc2 1 * * 0.000000 2.000000 515906
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 -1.000000 9999999
Sc2 1 1 0 1.000000 2.000000 218447
Sc2 1 * * 0.000000 2.000000 218447
Sc2 0 0 0 0.000000 -1.000000 9999999
Sc2 0 * * 0.000000 -1.000000 9999999
Sc2 1 1 0 1.000000 2.000000 371170
Sc2 1 * * 0.000000 2.000000 371170
Sc2 1 1 0 0.000000 2.000000 336176
Sc2 1 * * 1.000000 2.000000 336176
Sc2 1 1 0 0.000000 3.000000 196254
Sc2 1 * * 0.000000 3.000000 196254
Sc2 1 1 0 1.000000 2.000000 299215
Sc2 1 * * 0.000000 2.000000 299215
Sc2 1 1 0 0.000000 2.000000 449494
Sc2 1 * * 1.000000 2.000000 449494
