Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc1-1; 0; 0; 9999999.00; 0.02; -1; 0; 0; 0;  9999999.00; 0.02; -1
Sc1-2; 1; 1; 515201.00; 0.03; 2; 0; 0; 1;  515201.00; 0.03; 2
Sc1-3; 1; 1; 377075.00; 0.13; 2; 0; 0; 1;  377075.00; 0.09; 2
Sc1-4; 1; 1; 235565.00; 0.04; 2; 0; 0; 1;  235565.00; 0.07; 2
Sc1-5; 1; 1; 149514.00; 0.08; 2; 0; 0; 1;  150480.00; 0.09; 2
Sc1-6; 1; 1; 320438.00; 0.15; 2; 0; 0; 1;  320438.00; 0.15; 2
Sc1-7; 1; 1; 367405.00; 0.07; 2; 0; 0; 1;  367405.00; 0.07; 2
Sc1-8; 1; 1; 195980.00; 0.14; 2; 0; 0; 1;  195980.00; 0.13; 2
Sc1-9; 1; 1; 164420.00; 0.08; 2; 0; 0; 1;  164420.00; 0.08; 2
Sc1-10; 1; 1; 195094.00; 0.13; 2; 0; 0; 1;  195094.00; 0.13; 2
Sc1-11; 1; 1; 279463.00; 0.04; 2; 0; 0; 1;  279463.00; 0.04; 2
Sc1-12; 1; 1; 465172.00; 0.07; 1; 0; 0; 1;  465172.00; 0.08; 1
Sc1-13; 1; 1; 272844.00; 0.08; 2; 0; 0; 1;  272844.00; 0.08; 2
Sc1-14; 1; 1; 306268.00; 0.05; 2; 0; 0; 1;  306268.00; 0.05; 2
Sc1-15; 1; 1; 247693.00; 0.04; 2; 0; 0; 1;  247693.00; 0.04; 2
Sc1-16; 1; 1; 288443.00; 0.07; 1; 0; 0; 1;  288443.00; 0.08; 1
Sc1-17; 0; 0; 9999999.00; 0.02; -1; 0; 0; 0;  9999999.00; 0.03; -1
Sc1-18; 1; 1; 445751.00; 0.07; 2; 0; 0; 1;  445751.00; 0.06; 2
Sc1-19; 1; 1; 252595.00; 0.06; 2; 0; 0; 1;  252595.00; 0.06; 2
Sc1-20; 1; 1; 202776.00; 0.08; 2; 0; 0; 1;  202776.00; 0.07; 2
Sc2-1; 0; 0; 9999999.00; 0.12; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-2; 0; 0; 9999999.00; 0.12; -1; 0; 0; 0;  9999999.00; 0.21; -1
Sc2-3; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-4; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  9999999.00; 0.08; -1
Sc2-5; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-6; 1; 1; 340442.00; 0.38; 2; 0; 0; 1;  340442.00; 0.36; 2
Sc2-7; 1; 1; 515906.00; 1.02; 2; 0; 0; 1;  517112.00; 0.52; 2
Sc2-8; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-9; 1; 1; 218447.00; 0.69; 2; 0; 0; 1;  218447.00; 0.68; 2
Sc2-10; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  9999999.00; 0.09; -1
Sc2-11; 1; 1; 371170.00; 0.22; 2; 0; 0; 1;  371170.00; 0.19; 2
Sc2-12; 1; 1; 336176.00; 1.08; 2; 0; 0; 1;  336176.00; 0.76; 2
Sc2-13; 1; 1; 196254.00; 0.36; 3; 0; 0; 1;  196254.00; 0.36; 3
