Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); isFea(H1); sol(H1); time(H1); isFea(H2); sol(H2); time(H2); isOptNoPre; isAllFixed; LB; UB; nbBool; nbFixed; nbBoolX; nbFixedX
Sc1-1; 0; 0; 9999999.00; 0.08; 0; 0.00; 0.00; 0; 0.00; 0.00; 0; 0; 0.00; 0.00; 0; 0; 0; 0
Sc1-2; 1; 1; 515201.00; 0.28; 1; 614993.00; 0.20; 1; 515201.00; 0.32; 0; 0; 514416.64; 515201.00; 3288; 255; 192; 79
Sc1-3; 1; 1; 377075.00; 0.29; 1; 386649.00; 0.04; 1; 377075.00; 0.24; 0; 0; 321882.22; 377075.00; 3288; 0; 192; 0
Sc1-4; 1; 1; 235565.00; 0.13; 1; 258267.00; 0.06; 1; 235565.00; 0.13; 0; 0; 233094.52; 235565.00; 3288; 73; 192; 22
Sc1-5; 1; 1; 149514.00; 0.36; 1; 159058.00; 0.07; 1; 150480.00; 0.28; 0; 0; 144433.76; 150480.00; 3288; 0; 192; 0
Sc1-6; 1; 1; 320438.00; 0.34; 1; 371707.00; 0.06; 1; 320438.00; 0.38; 0; 0; 300746.84; 320438.00; 3288; 0; 192; 0
Sc1-7; 1; 1; 367405.00; 0.37; 1; 395744.00; 0.06; 1; 367405.00; 0.23; 0; 0; 343660.01; 367405.00; 3288; 0; 192; 0
Sc1-8; 1; 1; 195980.00; 0.31; 1; 287345.00; 0.04; 1; 195980.00; 0.25; 0; 0; 188039.69; 195980.00; 3288; 30; 192; 12
Sc1-9; 1; 1; 164420.00; 0.43; 1; 274848.00; 0.16; 1; 164420.00; 0.58; 0; 0; 155145.81; 164420.00; 3288; 25; 192; 19
Sc1-10; 1; 1; 195094.00; 0.77; 1; 208479.00; 0.34; 1; 195094.00; 0.62; 0; 0; 192990.59; 195094.00; 3288; 115; 192; 29
Sc1-11; 1; 1; 279463.00; 0.97; 1; 279463.00; 0.19; 1; 279463.00; 0.53; 0; 0; 231771.95; 279463.00; 3288; 0; 192; 0
Sc1-12; 1; 1; 465172.00; 0.80; 1; 548071.00; 0.22; 1; 465172.00; 0.55; 0; 0; 457865.39; 465172.00; 3288; 88; 192; 21
Sc1-13; 1; 1; 272844.00; 0.87; 1; 275234.00; 0.17; 1; 272844.00; 0.70; 0; 0; 253665.91; 272844.00; 3288; 0; 192; 0
Sc1-14; 1; 1; 306268.00; 0.62; 1; 306268.00; 0.27; 1; 306268.00; 0.72; 0; 0; 303842.80; 306268.00; 3288; 54; 192; 12
Sc1-15; 1; 1; 247693.00; 0.23; 1; 272118.00; 0.04; 1; 247693.00; 0.25; 0; 0; 239695.59; 247693.00; 3288; 15; 192; 3
Sc1-16; 1; 1; 288443.00; 0.13; 1; 288443.00; 0.05; 1; 288443.00; 0.13; 0; 0; 286262.64; 288443.00; 3288; 111; 192; 33
Sc1-17; 0; 0; 9999999.00; 0.07; 0; 0.00; 0.00; 0; 0.00; 0.00; 0; 0; 0.00; 0.00; 0; 0; 0; 0
Sc1-18; 1; 1; 445751.00; 0.26; 1; 722691.00; 0.04; 1; 445751.00; 0.50; 0; 0; 406247.55; 445751.00; 3288; 0; 192; 0
Sc1-19; 1; 1; 252595.00; 0.27; 1; 368503.00; 0.04; 1; 252595.00; 0.27; 0; 0; 239895.57; 252595.00; 3288; 18; 192; 0
Sc1-20; 1; 1; 202776.00; 0.12; 1; 232667.00; 0.12; 1; 202776.00; 0.18; 1; 0; 202776.00; 202776.00; 3288; 3288; 192; 192
